Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
面白い 診断 テスト,Informational,880,"0.20,0.30,0.42,0.67,0.37,0.42,0.54,0.54,0.54,0.42,1.00,0.79",30,0.21,0.02,"Sitelinks, Video, People also ask, Related searches"
ai 性格 診断,Informational,720,"0.07,0.11,0.17,0.13,0.07,1.00,0.66,0.25,0.25,0.17,0.20,0.17",22,0.46,0.11,"AI Overview, Video, People also ask, Related searches"
istp 診断,Informational,720,"1.00,1.00,1.00,1.00,0.82,1.00,1.00,0.67,0.82,0.67,0.67,0.67",28,0.14,0.36,"Image, People also ask, Related searches"
mbti 分け 方,Informational,720,"0.82,0.82,0.82,1.00,0.82,0.67,0.67,0.67,0.67,0.82,0.82,0.82",26,0.62,0.01,"Image pack, Video, People also ask, Related searches"
mbti 簡単に,Informational,720,"1.00,1.00,1.00,0.82,1.00,1.00,1.00,1.00,0.82,0.82,0.82,1.00",34,0.18,0.03,"AI Overview, Video, Video carousel, People also ask, Related searches"
mbti 簡易,Informational,720,"1.00,1.00,1.00,1.00,0.82,0.82,1.00,0.54,0.82,1.00,1.00,0.82",22,0.33,0.08,"Image pack, Video, Related searches"
mbti診断 解説,Informational,720,"1.00,0.88,0.72,0.72,0.88,0.88,0.88,0.88,0.59,0.59,0.48,0.48",18,0.00,0.01,"Video, People also ask, Related searches"
yg 性格 検査 120 問 無料,Informational,720,"1.00,1.00,1.00,1.00,0.82,0.67,0.67,0.55,0.67,0.55,0.55,0.67",10,0.52,0.30,"Sitelinks, People also ask, Related searches"
サンリオ 性格 診断,"Informational, Navigational",720,"0.11,0.13,1.00,0.13,0.11,0.09,0.07,0.07,0.07,0.09,0.09,0.07",31,0.00,0.33,"Sitelinks, Image pack, Video, People also ask, Related searches"
テスト 心理 学,Informational,720,"1.00,0.82,1.00,1.00,1.00,0.82,1.00,0.82,0.82,1.00,0.82,0.82",17,0.39,0.08,"AI Overview, Video, Video carousel, People also ask, Related searches"
ヒソカ 性格 診断,Informational,720,"0.82,1.00,0.82,0.67,0.82,1.00,0.82,0.55,0.67,0.55,0.82,1.00",33,0.00,0.33,"Image, Image pack, Video, People also ask"
ビジネス 性格 診断,Informational,720,"0.02,0.02,0.01,0.02,0.02,1.00,0.67,0.24,0.11,0.09,0.09,0.06",29,0.72,0.15,"Image pack, Video, People also ask, Ads top, Ads bottom"
ビジネス 診断,Informational,720,"0.01,0.01,0.02,0.02,0.02,1.00,0.67,0.36,0.11,0.07,0.13,0.06",22,0.62,0.16,"Video, People also ask, Related searches"
人 の 特徴,Informational,720,"0.72,0.48,0.72,0.72,0.88,0.72,0.72,0.72,0.72,0.88,1.00,0.88",21,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
他 己 診断,Navigational,720,"0.02,0.02,0.03,0.03,0.02,0.11,1.00,0.30,0.20,0.13,0.36,0.55",30,0.83,0.03,"Sitelinks, Video, People also ask, Related searches"
個性 診断,Informational,720,"0.68,0.55,1.00,0.55,0.55,0.68,0.55,0.45,0.37,0.37,0.45,0.37",24,0.31,0.11,"Image pack, Video, People also ask, Related searches"
女嫌い 診断,Informational,720,"0.82,0.82,0.82,0.67,0.82,0.67,0.67,1.00,0.82,0.82,0.67,0.67",17,0.00,0.00,Related searches
心理 学 テスト,Informational,720,"1.00,0.82,1.00,1.00,1.00,0.82,1.00,0.82,0.82,1.00,0.82,0.82",28,0.31,0.05,"Sitelinks, Video, Video carousel, People also ask, Related searches"
心理 診断 テスト,Informational,720,"1.00,0.82,1.00,1.00,0.82,0.82,1.00,1.00,1.00,0.82,1.00,1.00",32,0.19,0.07,"Sitelinks, Video, Video carousel, Related searches"
性格 クズ 診断,Informational,720,"0.81,0.81,1.00,0.81,0.54,0.66,0.54,0.29,0.02,0.02,0.02,0.08",16,0.00,0.33,"Video, People also ask, Related searches"
性格 免許 証 診断,Navigational,720,"0.45,1.00,0.68,0.45,0.68,0.45,0.55,0.45,0.68,0.45,0.55,0.68",27,0.68,0.01,"Sitelinks, Related searches"
性格 診断 エンターテイナー,Informational,720,"1.00,1.00,1.00,0.82,0.67,0.82,0.67,0.67,0.67,0.67,0.82,0.67",20,0.45,0.03,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
性格 診断 仲介 者,Informational,720,"1.00,1.00,1.00,0.82,0.67,0.82,0.82,0.67,0.82,0.82,1.00,1.00",27,0.17,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
性格 診断 免許 証,Navigational,720,"0.55,1.00,0.77,0.55,0.68,0.45,0.45,0.37,0.45,0.37,0.37,0.45",29,0.00,0.33,"Video, Related searches"
性格 診断 名前,Informational,720,"0.82,0.82,1.00,0.82,1.00,0.82,0.82,1.00,1.00,0.82,1.00,0.82",20,0.00,0.03,"Sitelinks, Video, Related searches"
性格 診断 提唱 者,Informational,720,"1.00,1.00,1.00,0.82,0.67,0.67,0.67,0.55,0.67,0.82,0.67,0.67",18,0.20,0.03,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
性格タイプ tinder,Informational,720,"0.00,0.01,0.16,0.77,0.77,1.00,1.00,0.77,0.77,0.77,1.00,0.20",26,0.12,0.10,"Sitelinks, Video, People also ask, Related searches"
流行り 占い,Informational,720,"0.16,0.16,1.00,0.37,0.25,0.25,0.25,0.16,0.16,0.16,0.25,0.20",25,0.15,0.06,"AI Overview, Video, People also ask, Related searches"
犬 の 性格 診断,Informational,720,"0.25,0.25,1.00,0.30,0.30,0.25,0.20,0.20,0.20,0.20,0.25,0.20",14,0.00,0.33,"Reviews, Video, People also ask, Related searches"
犬 性格 診断,Informational,720,"0.25,0.25,1.00,0.30,0.30,0.25,0.20,0.20,0.20,0.20,0.25,0.20",13,0.00,0.33,"Video, Video carousel, Related searches"
生き づらい 診断,Informational,720,"0.72,1.00,0.88,0.88,0.72,0.72,0.72,0.59,0.72,0.59,0.59,0.48",14,0.14,0.29,"Image, Video, People also ask, Related searches"
自分 の 性格 が わからない,Informational,720,"1.00,0.82,1.00,1.00,0.82,0.67,0.82,0.67,0.67,0.82,0.67,0.82",25,0.18,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
自分 の 長所 診断,Informational,720,"1.00,0.88,1.00,1.00,0.88,0.88,0.88,0.59,0.48,0.59,0.32,0.39",24,0.33,0.47,"Video, Related searches"
自分 は おかしい のか 診断,Informational,720,"0.88,0.88,1.00,1.00,0.72,0.72,0.72,0.59,0.59,0.59,0.48,0.39",22,0.10,0.19,"AI Overview, People also ask, Related searches"
自分 を 知る,Informational,720,"1.00,1.00,1.00,0.82,1.00,1.00,1.00,0.82,0.82,1.00,0.82,0.82",12,0.59,0.22,"AI Overview, Video, Video carousel, People also ask, Related searches"
自分に価値がない 診断,Informational,720,"0.48,0.72,0.72,0.72,1.00,0.88,0.72,0.59,0.59,0.88,0.72,0.88",30,0.25,0.10,"Video, People also ask, Related searches"
血液 型 診断 性格,Informational,720,"0.82,0.82,0.55,0.44,1.00,0.82,1.00,1.00,1.00,0.67,1.00,1.00",23,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
診断 ビジネス,Informational,720,"0.01,0.01,0.02,0.02,0.02,1.00,0.67,0.36,0.11,0.07,0.13,0.06",22,0.62,0.16,"Image pack, Video, People also ask, Related searches"
診断 メーカー 性格 の 悪さ,Navigational,720,"1.00,1.00,0.82,1.00,0.82,0.82,1.00,0.67,0.55,0.44,0.36,0.55",23,0.00,0.01,"Video, People also ask, Related searches"
診断 心理 テスト,Informational,720,"1.00,0.82,1.00,1.00,0.82,0.82,1.00,1.00,1.00,0.82,1.00,1.00",32,0.19,0.07,"Sitelinks, Video, Video carousel, Related searches"
鬼 滅 の 刃 性格 診断,Informational,720,"0.66,1.00,0.55,0.34,0.17,0.17,0.09,0.06,0.06,0.06,0.07,0.06",16,0.00,0.33,"Video, People also ask, Related searches"
16 性格 診断 キャラ,Informational,590,"0.82,1.00,1.00,0.82,0.67,0.82,0.82,0.67,0.82,0.67,0.54,0.67",19,0.00,0.33,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
b求める人 診断,Informational,590,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",22,0.31,0.01,"Video, People also ask, Related searches"
isfp 性格 診断,Informational,590,"0.72,1.00,1.00,0.72,0.32,0.32,0.32,0.26,0.39,0.32,0.32,0.26",31,0.18,0.35,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
mbti アイデンティティ,Informational,590,"1.00,1.00,1.00,1.00,0.82,0.67,0.54,0.54,0.54,0.67,0.67,0.67",29,0.00,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
mbti ペルソナ,Informational,590,"1.00,1.00,0.82,0.67,0.55,0.44,0.44,0.36,0.36,0.44,0.36,0.36",13,0.31,0.02,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
spi 性格 診断,Informational,590,"0.67,0.55,0.67,0.67,0.67,0.55,0.55,0.55,1.00,0.67,0.67,1.00",27,0.89,0.24,"Sitelinks, AI Overview, Video, People also ask, Related searches"
tbs 占い,"Informational, Transactional",590,"0.82,0.82,0.82,0.82,0.82,0.82,1.00,0.67,0.67,0.82,0.67,0.67",27,0.00,0.33,"Video, Related searches"
い 人,Informational,590,"1.00,1.00,0.82,1.00,0.82,0.82,0.82,0.67,0.82,0.82,0.82,0.67",12,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
よく 当たる 性格 診断 250 パターン,Informational,590,"0.67,0.82,1.00,0.82,0.67,0.82,0.67,0.82,0.54,0.67,0.82,0.67",31,0.12,0.16,"Video, People also ask, Related searches, Ads top, Ads bottom"
コミュニケーション 能力 診断,Informational,590,"1.00,0.72,0.88,0.88,0.72,0.59,0.48,0.39,0.39,0.48,0.39,0.39",25,0.62,0.12,"Video, People also ask, Related searches"
ハンター ハンター 性格 診断,Informational,590,"1.00,1.00,0.82,0.82,0.82,0.82,0.82,0.67,0.82,0.67,1.00,1.00",14,0.00,0.33,"Sitelinks, Reviews, Image pack, Video, Related searches"
ビック 5,Informational,590,"0.82,0.82,1.00,1.00,1.00,1.00,0.82,0.67,0.82,0.82,1.00,1.00",32,0.24,0.22,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Ads top"
ペルソナ mbti,Informational,590,"1.00,1.00,0.82,0.82,0.82,0.67,0.67,0.67,0.82,0.67,0.67,0.82",12,0.33,0.02,"Sitelinks, Image pack, Video, Related searches"
仕事 性格 診断,Informational,590,"0.81,0.81,1.00,1.00,0.81,1.00,1.00,0.81,0.81,0.81,0.66,0.81",34,1.27,0.70,"Video, People also ask, Related searches"
何 型 診断,Informational,590,"0.72,0.59,0.48,0.59,0.48,0.48,0.59,0.48,1.00,0.48,0.48,0.59",19,0.16,0.04,"Video, People also ask, Related searches"
偉人 診断,Informational,590,"0.37,0.25,0.30,0.37,1.00,0.68,0.55,0.45,0.37,0.45,0.55,0.45",14,0.00,0.33,Related searches
勉強 診断,Informational,590,"0.48,0.48,0.59,0.72,0.72,0.88,1.00,0.72,0.59,0.39,0.48,0.48",20,0.37,0.09,"Sitelinks, Video, People also ask, Related searches"
占い 性格 診断,Informational,590,"0.81,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.66",24,0.06,0.29,"Sitelinks, Video, Related searches"
性格 特徴,Informational,590,"0.09,0.07,0.09,0.09,0.09,0.42,1.00,0.25,0.20,0.25,0.13,0.11",22,0.00,0.02,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
性格 相性 診断,Informational,590,"0.30,0.24,0.20,1.00,0.30,0.30,0.30,0.37,0.37,0.37,0.45,0.45",18,0.19,0.02,"Video, Related searches"
性格 診断 spi,Informational,590,"0.67,0.55,0.67,0.67,0.67,0.55,0.55,0.55,1.00,0.67,0.67,1.00",29,1.21,0.32,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads top, Ads bottom"
性格 診断 仕事,Commercial,590,"0.81,0.81,1.00,1.00,0.81,1.00,1.00,0.81,0.81,0.81,0.66,0.81",29,1.27,0.70,"Video, People also ask, Related searches"
性格 診断 占い,Informational,590,"0.81,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.66",27,0.06,0.29,"Sitelinks, Image pack, Video, People also ask, Related searches"
性格悪さ診断,Informational,590,"0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.24",17,0.06,0.08,"Video, People also ask, Related searches"
感じやすいか 診断,Informational,590,"0.55,0.01,0.30,0.67,1.00,0.55,0.82,0.67,0.82,1.00,1.00,0.67",15,0.00,0.00,"People also ask, Related searches"
日本 mbti 割合,Informational,590,"0.82,1.00,0.82,0.67,0.55,0.67,0.55,0.44,0.55,0.67,0.67,0.55",22,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches"
猫 の 性格 診断,Informational,590,"0.45,0.45,1.00,0.37,0.37,0.30,0.30,0.24,0.24,0.24,0.30,0.30",16,0.00,0.33,"Video, People also ask, Related searches"
猫 性格 診断,Informational,590,"0.45,0.45,1.00,0.37,0.37,0.30,0.30,0.24,0.24,0.24,0.30,0.30",17,0.00,0.33,"Image pack, Video carousel, People also ask, Related searches"
生年 月 日 性格 診断,Informational,590,"0.44,0.67,0.55,0.44,0.67,1.00,0.82,1.00,0.44,0.44,0.55,0.55",22,0.11,0.08,"Sitelinks, Video, Related searches"
自分 に 合う 異性 の タイプ 診断,Informational,590,"0.48,0.48,0.48,0.72,0.72,0.72,0.88,0.72,0.88,0.72,1.00,1.00",23,0.24,0.08,"Video, Related searches"
自分 性格 悪い 診断,Informational,590,"0.59,0.59,0.59,0.59,0.72,0.72,0.72,0.59,0.59,0.59,1.00,0.59",16,0.08,0.23,"Sitelinks, Video, People also ask, Related searches"
自己 嫌悪 診断,Informational,590,"0.67,0.67,0.67,0.67,0.30,0.30,0.44,0.55,0.67,0.82,1.00,1.00",14,0.12,0.06,"Video, People also ask, Related searches"
色 性格 診断,Informational,590,"0.82,0.82,0.82,0.82,0.82,1.00,0.82,1.00,1.00,1.00,1.00,0.82",21,0.00,0.01,"Image pack, Video, People also ask, Related searches"
辛口 診断,Informational,590,"0.72,0.48,0.72,0.59,0.59,0.48,0.48,0.59,0.39,0.39,1.00,0.88",14,0.22,0.01,"People also ask, Related searches"
適性 検査 性格,Informational,590,"0.82,0.82,0.82,0.82,0.67,0.67,0.82,1.00,0.82,0.67,0.82,0.67",24,1.70,0.16,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
高校 診断,Informational,590,"1.00,0.67,0.82,0.67,0.82,0.67,0.82,0.82,0.67,0.67,0.67,0.67",26,0.42,0.08,"Video, People also ask, Related searches"
16 種類 性格 診断,Informational,480,"0.81,1.00,0.81,0.54,0.66,0.81,0.54,0.24,0.54,0.66,1.00,0.66",26,0.30,0.18,"Image pack, Video, Video carousel, People also ask, Related searches"
16 診断 相性,Informational,480,"1.00,1.00,1.00,0.81,0.66,0.66,0.66,0.44,0.54,0.66,0.66,0.54",14,0.00,0.01,"Sitelinks, Image pack, People also ask, Related searches"
lbti,Informational,480,"0.54,0.54,0.67,1.00,0.67,0.67,0.67,0.54,0.54,0.54,0.67,0.54",26,0.59,0.10,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
mbti 占い,Informational,480,"1.00,0.81,0.81,0.81,0.66,0.81,0.81,0.54,0.44,0.54,0.81,0.66",30,0.16,0.14,"Sitelinks, Image pack, Video, People also ask, Related searches"
あなた の 性格 タイプ,Informational,480,"0.82,0.82,0.67,0.67,0.44,1.00,0.67,0.54,0.44,0.54,0.44,0.54",33,0.12,0.33,"Video, Video carousel, People also ask, Related searches"
エニアグラム 性格 診断,Informational,480,"1.00,0.82,0.82,0.82,0.67,0.67,0.67,0.67,0.44,0.44,0.44,0.36",30,0.37,0.16,"Sitelinks, Reviews, Image pack, Video, People also ask, Related searches"
カリスマ 性 診断,Informational,480,"0.82,0.67,0.67,0.67,0.54,0.54,0.67,0.67,1.00,0.67,0.82,0.67",18,0.50,0.01,"Video, People also ask, Related searches"
スクラップブック性格テスト,Informational,480,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",31,0.10,0.00,"Sitelinks, Video"
ビックファイブ理論,Informational,480,"0.37,0.20,0.25,0.45,0.45,0.37,0.45,0.25,0.20,0.45,1.00,0.55",24,0.30,0.19,"Sitelinks, AI Overview, Video, People also ask, Related searches"
ビッグ ファイブ と は,Informational,480,"0.81,0.44,0.66,0.81,0.81,0.81,1.00,0.66,0.54,0.66,1.00,1.00",26,0.62,0.05,"Sitelinks, AI Overview, Video, People also ask, Related searches"
人 と ずれ てる 診断,Informational,480,"0.54,0.54,0.67,0.67,0.67,1.00,0.67,0.67,0.67,0.54,0.54,0.44",16,0.25,0.03,"Video, People also ask, Related searches"
人 の 性格,Informational,480,"0.81,0.66,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,1.00,0.81",21,0.00,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
人生 診断,Informational,480,"0.81,0.81,1.00,0.81,0.81,0.66,0.81,0.54,0.66,0.54,0.81,0.66",17,0.18,0.16,"Video, People also ask, Related searches, Ads top, Ads bottom"
子供 性格 診断,Informational,480,"0.20,1.00,0.24,0.30,0.24,0.24,0.20,0.24,0.24,0.24,0.24,0.24",12,0.00,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
心理 テスト 性格 当たる,Informational,480,"0.81,1.00,1.00,0.81,0.66,0.81,0.81,0.81,0.81,0.81,0.81,0.81",20,0.18,0.03,"Sitelinks, Video, Related searches"
性格 キャラクター テスト 読め ない,Informational,480,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",21,0.00,0.00,"Sitelinks, AI Overview, Image pack, People also ask"
性格 特性,Informational,480,"1.00,0.81,0.81,0.81,0.81,0.66,1.00,0.66,0.81,0.66,0.81,0.81",27,0.28,0.17,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
性格 診断 enfp,Informational,480,"1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.67,0.81,0.67,0.67,0.67",33,0.21,0.15,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
性格 診断 エニアグラム,Informational,480,"1.00,0.82,0.82,0.82,0.67,0.67,0.67,0.67,0.44,0.44,0.44,0.36",31,0.37,0.16,"Sitelinks, Reviews, People also ask, Related searches"
恋愛 性格,Informational,480,"0.07,0.09,1.00,0.53,0.25,0.21,0.17,0.11,0.11,0.11,0.25,0.17",32,0.00,0.33,"Video, Video carousel, People also ask, Related searches"
才能 適職 免許 証,Navigational,480,"0.67,1.00,0.82,0.54,0.67,0.44,0.36,0.29,0.36,0.29,0.24,0.29",28,0.52,0.12,Related searches
気質 診断,Informational,480,"1.00,1.00,0.81,0.81,0.81,0.66,0.81,1.00,0.81,1.00,0.81,0.81",31,0.24,0.12,"AI Overview, Image pack, Video, People also ask, Related searches"
男女 診断,Informational,480,"0.82,0.67,0.67,1.00,0.82,0.67,0.67,0.54,0.67,0.54,0.67,0.67",17,0.00,0.33,"Video, Related searches"
相性 テスト,Informational,480,"1.00,0.44,0.66,0.81,0.81,0.81,0.81,0.81,0.81,0.54,0.81,0.81",27,0.26,0.02,"Video, Related searches"
短所 診断,Informational,480,"0.44,0.44,0.67,0.67,1.00,0.67,0.67,0.44,0.36,0.44,0.36,0.30",15,0.54,0.29,"Video, People also ask, Related searches"
自分 に 合っ た 勉強 法 診断,Informational,480,"0.82,0.67,0.54,1.00,1.00,0.82,0.82,0.67,0.54,0.36,0.44,0.44",25,0.54,0.12,"Sitelinks, Video, Video carousel, People also ask, Related searches"
自分 の いい ところ 診断,Informational,480,"1.00,0.81,0.81,1.00,1.00,1.00,0.81,0.54,0.67,0.81,0.54,0.44",16,0.20,0.42,"Video, Related searches"
色 診断 性格,Informational,480,"0.66,0.66,0.81,0.81,0.81,0.66,0.81,1.00,1.00,0.66,1.00,0.81",19,0.00,0.00,"Image, Image pack, Video, People also ask, Related searches"
部活 診断,Informational,480,"0.81,0.81,0.81,0.81,0.81,0.66,0.66,0.66,0.66,1.00,0.44,0.44",11,0.00,0.33,"Video, People also ask, Related searches"
面白い テスト,Informational,480,"0.44,0.30,0.36,0.36,0.44,0.55,0.55,0.67,0.67,0.82,1.00,1.00",26,0.00,0.33,"Image pack, Video, Video carousel, Related searches"
顔 性格 診断,Informational,480,"0.21,1.00,0.46,0.31,0.21,0.21,0.14,0.17,0.14,0.17,0.14,0.11",23,0.00,0.01,"Sitelinks, Image pack, Video, People also ask, Related searches"
顔 診断 性格,Commercial,480,"0.21,1.00,0.46,0.31,0.21,0.21,0.14,0.17,0.14,0.17,0.14,0.11",22,0.00,0.01,"Reviews, Image pack, Video, People also ask, Related searches"
estp 診断,Informational,390,"1.00,0.81,1.00,0.67,0.54,0.67,0.54,0.54,0.54,0.54,0.54,0.44",24,0.19,0.39,"Image pack, Video, People also ask, Related searches"
m グラム,Navigational,390,"1.00,0.81,0.81,0.81,0.66,0.54,0.44,0.29,0.36,0.29,0.24,0.24",31,0.61,0.03,"Sitelinks, People also ask, Related searches"
mbti database,Informational,390,"0.81,0.67,0.67,0.81,0.67,0.81,1.00,0.67,0.54,0.35,0.44,0.35",20,0.00,0.33,"Image pack, Video, Related searches"
mbti in,Informational,390,"1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.67,0.81,1.00,1.00",22,0.57,0.01,"Image pack, Video, People also ask, Related searches"
mbti なに,Informational,390,"0.81,0.81,0.66,0.81,0.66,0.66,0.66,0.54,0.81,0.81,1.00,0.81",32,0.21,0.04,"Featured snippet, Video, Video carousel, People also ask, Related searches"
sn 診断,Informational,390,"1.00,0.81,0.54,0.66,0.66,0.66,0.66,0.66,0.66,0.44,0.54,0.66",18,0.00,0.33,Related searches
with 診断,Informational,390,"0.81,1.00,0.81,0.81,0.81,0.81,1.00,0.81,0.67,0.81,0.81,0.67",33,2.69,0.01,"Reviews, Video, People also ask, Related searches"
おもしろ テスト,Informational,390,"0.44,0.30,0.36,0.36,0.44,0.55,0.55,0.67,0.67,0.82,1.00,1.00",20,0.78,0.01,"Sitelinks, Image pack, Video, Video carousel, Related searches"
エゴグラム 性格 診断,Informational,390,"1.00,0.67,1.00,1.00,1.00,0.81,0.67,0.54,0.54,0.67,0.54,0.54",26,0.40,0.08,"Sitelinks, Image pack, Video, People also ask, Related searches"
クラス で どう 思 われ てる 診断,Informational,390,"1.00,0.81,1.00,1.00,0.67,0.67,0.81,0.54,0.44,0.44,0.54,0.44",13,0.00,0.33,"People also ask, Related searches"
コミュニケーション 診断,Informational,390,"0.81,0.67,1.00,1.00,0.81,0.67,0.67,0.54,0.67,0.67,0.67,0.67",22,0.61,0.07,"Image pack, Video, People also ask, Related searches"
スター 性,Informational,390,"0.66,0.66,0.54,0.54,0.66,0.54,0.54,0.54,0.66,0.81,1.00,0.81",29,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
テスト 面白い,Informational,390,"0.44,0.30,0.36,0.36,0.44,0.55,0.55,0.67,0.67,0.82,1.00,1.00",22,0.78,0.01,"Video, Video carousel, Related searches"
ハリー ポッター 性格 診断,Informational,390,"0.54,0.81,1.00,1.00,1.00,1.00,0.67,0.67,0.67,0.54,0.67,0.54",17,0.00,0.33,"Image pack, Video, Related searches"
マイ ナビ ウーマン 診断,Navigational,390,"1.00,0.54,0.82,0.82,0.54,0.44,0.54,0.36,0.29,0.24,0.29,0.29",32,0.00,0.02,"Sitelinks, Video, Related searches"
人格 検査,Informational,390,"0.66,0.44,0.54,0.66,0.54,0.66,1.00,1.00,0.44,0.54,0.36,0.44",13,0.44,0.10,"AI Overview, Image pack, Video, People also ask, Related searches"
勉強 タイプ 診断,Informational,390,"0.67,0.67,0.81,1.00,1.00,0.81,0.81,0.81,1.00,0.54,0.67,0.54",13,0.26,0.27,"Sitelinks, Video, Related searches"
占い 心理,Informational,390,"0.67,0.67,0.81,1.00,0.81,0.81,0.81,0.81,0.67,0.67,0.67,0.81",29,0.27,0.02,"AI Overview, Video, People also ask, Related searches"
占い 心理 テスト,Informational,390,"0.67,0.67,1.00,1.00,0.81,0.67,0.81,0.81,0.67,0.67,0.67,0.81",28,0.00,0.01,"Sitelinks, Video, Related searches"
塾 診断,Commercial,390,"0.81,0.66,0.81,0.66,0.66,0.66,0.81,0.81,1.00,0.54,0.54,0.54",13,0.83,0.60,"Reviews, Video, People also ask, Related searches"
心理 テスト と は,Informational,390,"0.81,0.54,0.81,0.81,0.81,0.67,0.81,0.67,0.81,0.81,1.00,0.81",12,0.00,0.01,"AI Overview, Video, Video carousel, People also ask, Related searches"
心理 テスト 占い,Informational,390,"0.67,0.67,1.00,1.00,0.81,0.67,0.81,0.81,0.67,0.67,0.67,0.81",22,0.29,0.02,"Sitelinks, Video, Related searches"
念 性格 診断,Informational,390,"1.00,1.00,0.81,1.00,1.00,1.00,0.81,0.67,0.67,0.67,0.81,1.00",19,0.00,0.33,"Image pack, People also ask, Related searches"
性格 動物 診断,Commercial,390,"0.66,0.54,0.66,0.66,0.66,0.66,0.66,0.66,0.81,0.81,1.00,0.81",24,0.19,0.01,"Reviews, Video, Related searches"
性格 占い 辛口,Informational,390,"1.00,1.00,1.00,1.00,1.00,0.67,0.54,0.44,0.67,0.44,0.44,0.44",10,0.04,0.17,"Video, Related searches"
性格 色 診断,Informational,390,"0.67,0.81,0.81,0.81,0.81,0.67,0.81,1.00,0.81,1.00,0.81,0.19",13,0.00,0.01,"Image pack, Video, Related searches"
性格 診断 infj,Informational,390,"1.00,1.00,1.00,1.00,1.00,0.82,1.00,1.00,1.00,1.00,1.00,0.82",23,0.37,0.08,"AI Overview, Video, Video carousel, People also ask, Related searches"
性格 診断 isfp,Informational,390,"0.66,0.81,1.00,0.81,0.44,0.81,0.66,0.44,0.54,0.44,0.44,0.44",22,0.26,0.09,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
性格 診断 エゴグラム,Informational,390,"1.00,0.67,1.00,1.00,1.00,0.81,0.67,0.54,0.54,0.67,0.54,0.54",15,0.40,0.08,"Sitelinks, Image pack, Video, People also ask, Related searches"
無料 自己 分析,Informational,390,"1.00,1.00,1.00,1.00,1.00,0.82,0.82,1.00,0.82,1.00,0.82,0.82",23,1.02,0.68,"Sitelinks, AI Overview, Image pack, Video, Related searches, Ads top, Ads bottom"
特技 診断,Informational,390,"0.44,0.44,0.44,0.44,0.44,0.44,0.67,0.54,0.67,1.00,0.29,0.24",15,0.35,0.15,"Video, People also ask, Related searches"
理想 の タイプ 診断,Informational,390,"0.81,0.81,1.00,0.81,0.81,0.67,0.81,0.67,0.81,0.81,0.81,0.81",25,0.19,0.04,"Video, People also ask, Related searches"
真面目 診断,Informational,390,"0.36,0.44,0.44,0.44,0.44,0.36,0.36,0.36,0.36,0.44,1.00,0.55",13,0.19,0.03,Related searches
自分 に 自信 が ない 診断,Informational,390,"0.81,0.81,1.00,1.00,0.81,0.67,0.67,0.54,0.54,0.67,0.67,0.67",12,0.17,0.27,"People also ask, Related searches"
自分 を 知る 診断,Informational,390,"0.81,0.81,0.81,0.81,1.00,0.67,0.67,0.54,0.54,0.44,0.29,0.35",31,0.24,0.51,"Sitelinks, Video, Related searches"
裏 の 性格 診断,Informational,390,"0.44,0.54,0.82,1.00,0.67,0.67,0.54,0.44,0.54,0.44,0.82,0.82",28,0.00,0.01,"Sitelinks, Video, People also ask, Related searches"
