Keyword,Intent,Relevance,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
gemini woman and a taurus man,Informational,41,320,"1.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.89,0.48,0.00,0.00",24,0.03,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads bottom"
gemini woman cancer man,Informational,42,320,"1.00,0.80,0.64,0.52,0.52,1.00,0.44,0.52,0.00,0.80,0.28,0.44",18,0.03,0.03,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
gemini woman leo man,Informational,38,320,"0.32,0.05,0.17,0.17,0.88,0.17,0.11,0.11,1.00,0.09,0.14,0.17",24,0.03,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
gemini woman scorpio man,Informational,37,320,"1.00,1.00,0.63,0.63,0.63,0.63,0.50,0.50,0.50,0.81,1.00,0.50",19,0.00,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
girlfriend for sale,Transactional,30,320,"1.00,0.66,0.66,0.81,0.81,0.43,0.54,0.66,0.66,0.54,0.66,0.54",20,0.00,0.33,"Sitelinks, AI Overview, Image, Video, People also ask"
goat and monkey compatibility,Informational,39,320,"0.44,0.44,0.44,0.54,0.44,0.44,0.67,0.44,0.81,1.00,0.44,0.44",8,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
goat and ox compatibility,Informational,40,320,"0.54,0.54,0.54,0.66,0.43,0.66,0.54,0.66,1.00,1.00,0.66,0.54",4,0.00,0.33,"AI Overview, People also ask, Related searches"
goat compatibility chinese zodiac,Informational,39,320,"0.44,0.28,0.67,0.36,0.36,0.54,0.54,0.67,1.00,1.00,0.54,0.36",28,0.00,0.33,"AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
goat enemy sign,Informational,31,320,"1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.19,0.13,0.54",29,0.00,0.33,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, Video carousel, People also ask, Related searches"
goat monkey compatibility,Informational,41,320,"0.81,0.66,0.29,0.22,0.43,0.43,0.54,0.81,1.00,1.00,0.66,0.66",13,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
goat sign,Informational,36,320,"0.82,1.00,0.82,0.67,0.54,0.67,0.82,1.00,0.67,0.67,0.67,0.82",25,0.43,0.52,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
golden dragon zodiac,Informational,34,320,"0.21,0.17,0.21,0.11,0.14,0.32,0.11,0.21,1.00,1.00,0.17,0.14",23,0.00,0.33,"Sitelinks, AI Overview, Image, Video, People also ask"
good match for libra,Commercial,45,320,"0.10,0.20,0.03,0.45,1.00,0.13,0.06,0.04,0.06,0.04,0.10,0.03",30,0.02,0.03,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
good matches for scorpio,Informational,44,320,"0.82,1.00,0.65,0.18,0.09,0.11,0.65,0.44,0.29,0.15,0.36,0.55",34,0.02,0.03,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Discussions and forums, Related searches"
good traits in a partner,Informational,41,320,"0.81,0.67,0.19,0.67,0.22,0.67,0.81,0.67,1.00,0.81,0.54,0.67",27,0.02,0.07,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches"
he was the one,Informational,29,320,"1.00,0.67,0.67,0.82,0.82,1.00,0.67,0.67,0.67,0.82,0.82,0.82",14,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
healthy relationship meaning,Informational,38,320,"1.00,0.11,0.23,0.23,0.66,0.54,0.35,0.66,0.54,0.28,0.54,0.66",32,1.12,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
healthy relationship quiz,Commercial,37,320,"0.24,0.29,0.29,0.29,1.00,0.29,0.29,0.82,0.36,0.44,0.54,0.29",28,0.73,0.28,"Video, Video carousel, Discussions and forums, Related searches"
healthy relationship slogan,Informational,43,320,"0.30,0.24,0.09,0.15,1.00,0.82,0.04,0.12,0.12,0.03,0.30,0.19",22,0.46,0.01,"AI Overview, Image, Video, People also ask, Related searches"
healthy relationships signs,Informational,39,320,"0.66,0.54,0.66,0.54,0.81,0.81,0.54,0.54,0.66,0.43,1.00,1.00",32,0.13,0.06,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
horoscope astro seek,Navigational,40,320,"0.43,0.54,0.68,0.54,0.54,0.30,0.19,0.19,0.43,0.43,0.54,1.00",29,0.00,0.01,"Sitelinks, Related searches"
horoscope for may,Informational,34,320,"1.00,0.12,0.10,0.16,0.10,0.76,0.06,0.04,0.03,0.03,0.03,0.29",19,0.63,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
horoscope sept 12,Informational,36,320,"0.36,1.00,0.08,0.08,0.13,0.20,0.16,0.10,0.08,0.08,0.16,0.24",32,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
horoscope signs images,Informational,36,320,"0.15,0.30,0.02,0.12,1.00,0.06,0.06,0.06,0.08,0.03,0.11,0.03",24,0.43,0.97,"Image pack, Video, People also ask, Related searches"
horse and dog compatibility,Informational,46,320,"0.54,0.54,0.54,0.44,0.54,0.44,0.44,0.66,0.81,1.00,0.44,0.44",5,0.00,0.33,"AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
horse and goat compatibility,Informational,40,320,"0.44,0.35,0.54,0.54,0.44,0.54,0.54,0.66,1.00,1.00,0.44,0.35",8,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
horse and ox compatibility,Informational,43,320,"0.26,0.26,0.17,0.21,0.26,0.17,0.14,0.32,1.00,0.39,0.17,0.11",8,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
horse compatibility,Informational,44,320,"0.54,0.44,0.44,0.36,0.28,0.36,0.54,0.81,1.00,1.00,0.36,0.28",22,0.00,0.33,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
horse element 1990,Informational,32,320,"0.04,0.03,0.02,0.03,0.03,0.05,0.11,0.25,0.46,1.00,0.20,0.11",29,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
horse for chinese new year,Informational,28,320,"0.11,0.08,0.08,0.07,0.20,0.31,0.00,0.00,0.25,1.00,0.00,0.00",32,9.44,0.11,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
horse monkey compatibility,Informational,43,320,"0.36,0.24,0.54,0.24,0.29,0.24,0.24,0.67,1.00,0.54,0.54,0.36",9,0.00,0.33,"AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
horse sign lucky color,Informational,35,320,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,0.00,0.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
horse year 2014,Informational,29,320,"0.04,0.04,0.03,0.04,0.04,0.08,0.10,0.30,0.62,1.00,0.20,0.13",34,0.00,0.03,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
horse zodiac 2014,Informational,32,320,"0.04,0.04,0.03,0.04,0.04,0.08,0.10,0.30,0.62,1.00,0.20,0.13",30,0.00,0.01,"AI Overview, Video, Video carousel, People also ask, Related searches"
horse zodiac traits,Informational,36,320,"0.13,0.08,0.06,0.08,0.08,0.10,0.04,0.24,0.10,1.00,0.20,0.04",31,0.04,0.02,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
how do i know he is the one,Informational,35,320,"1.00,0.67,0.67,1.00,1.00,1.00,0.82,0.82,0.67,0.54,0.82,0.82",23,0.04,0.26,"Sitelinks, AI Overview, Video, People also ask, Related searches"
how do you know if someone,Informational,41,320,"0.66,0.66,0.82,0.82,1.00,0.82,0.66,0.66,0.66,0.66,0.66,0.82",28,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
how do you know if someone is right for you,Informational,41,320,"0.82,0.67,0.82,0.67,0.67,1.00,0.82,0.82,0.82,0.67,0.67,0.82",5,0.04,0.25,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
how do you know if someone is your twin flame,Informational,36,320,"1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.67,0.55,0.35,0.55,0.55",30,0.23,0.30,"Sitelinks, AI Overview, Video, People also ask, Related searches"
how do you know when you've found the one,Informational,35,320,"0.83,1.00,0.00,0.67,0.06,0.08,1.00,0.03,1.00,0.67,0.36,0.17",30,0.03,0.20,"Sitelinks, AI Overview, Video, People also ask, Related searches"
how to check love percentage on paper,Informational,35,320,"0.19,0.09,0.05,0.15,0.54,0.66,0.66,0.66,0.66,0.66,0.81,1.00",18,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
how to do love calculator on paper,Informational,30,320,"0.81,0.28,0.66,0.35,0.66,0.81,0.54,0.54,0.81,0.35,0.54,1.00",29,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches"
how to know he is the one,Informational,36,320,"0.67,1.00,1.00,1.00,1.00,1.00,0.80,1.00,0.80,0.53,1.00,0.80",24,0.04,0.26,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
how to know if he was the one,Informational,35,320,"0.04,1.00,0.00,0.04,0.00,0.08,1.00,0.08,0.59,0.11,0.21,0.26",29,0.04,0.25,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
how to know if someone is right for you,Informational,41,320,"1.00,0.82,1.00,1.00,0.65,1.00,0.82,1.00,0.82,0.82,0.65,0.82",20,0.03,0.24,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches"
how to know if someone is the one,Informational,38,320,"1.00,0.67,0.67,0.67,0.67,0.81,0.54,0.54,0.54,0.67,0.67,0.67",25,0.03,0.18,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
how to know you found the one,Informational,33,320,"0.56,0.67,0.67,0.83,0.67,0.14,0.67,0.44,1.00,0.67,0.56,0.56",29,0.03,0.20,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
how to know you've found the one,Informational,33,320,"0.81,1.00,0.02,0.04,0.04,0.04,1.00,0.10,1.00,0.67,0.19,0.15",26,0.03,0.20,"Sitelinks, AI Overview, Video, People also ask, Related searches"
how to make it work in a relationship,Informational,41,320,"0.66,0.81,0.29,0.29,1.00,0.54,0.54,0.54,0.66,0.43,0.66,0.66",30,0.43,0.19,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
how to read vedic astrology chart,Informational,37,320,"0.17,0.21,0.26,0.21,0.26,0.26,0.17,1.00,0.72,0.26,0.17,0.21",25,0.79,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Discussions and forums, Related searches"
how to tell if someone is the one for you,Informational,38,320,"1.00,0.54,0.23,0.23,0.35,0.44,0.44,0.66,0.54,0.44,0.54,0.66",27,0.03,0.17,"Sitelinks, AI Overview, Video, People also ask, Related searches"
how well do you know your partner quiz funny,Informational,44,320,"1.00,1.00,1.00,0.80,0.80,0.67,0.67,0.67,0.67,0.53,0.53,0.53",21,0.04,0.14,"AI Overview, Video, Video carousel, Discussions and forums, Related searches"
how well do you know your significant other questions,Informational,44,320,"1.00,0.05,0.36,0.09,0.09,0.44,0.65,0.55,0.24,0.24,0.55,0.65",16,0.03,0.46,"AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches"
how well do you know your spouse quiz,Informational,37,320,"0.36,1.00,0.07,0.19,0.15,0.67,0.09,0.09,0.54,0.03,0.67,0.54",27,0.14,0.21,"Video, Video carousel, Short videos, People also ask, Related searches"
in a happy relationship,Informational,37,320,"0.81,0.54,0.35,0.35,1.00,0.44,0.44,0.54,1.00,0.67,0.67,0.67",33,0.42,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
is a gemini and virgo compatible,Informational,47,320,"0.81,1.00,0.81,0.81,0.81,0.81,0.67,0.81,0.81,0.81,0.81,1.00",21,0.01,0.04,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
is a sagittarius compatible with a gemini,Informational,46,320,"1.00,0.81,0.23,0.23,0.54,0.81,0.81,0.81,0.81,0.66,0.81,1.00",23,0.01,0.05,"Sitelinks, AI Overview, Video, People also ask, Related searches"
is a taurus and gemini compatible,Informational,45,320,"0.81,0.67,0.43,0.67,0.54,0.67,0.67,0.67,1.00,0.67,0.81,1.00",21,0.03,0.03,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
is a taurus and scorpio compatible,Informational,47,320,"1.00,0.67,0.43,0.54,0.54,0.67,0.67,0.54,0.43,0.43,0.81,0.67",33,0.02,0.02,"Featured snippet, Sitelinks, Reviews, Video, Video carousel, People also ask, Related searches"
is aquarius and capricorn compatible,Informational,43,320,"0.54,0.09,0.19,0.19,0.19,0.23,0.29,0.19,1.00,0.66,0.66,0.66",18,0.02,0.04,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
is aries compatible with virgo,Informational,47,320,"0.82,0.66,0.66,1.00,0.66,0.82,0.82,0.82,1.00,0.66,1.00,1.00",33,0.02,0.03,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
is capricorn and scorpio compatible,Informational,47,320,"0.44,0.81,0.54,0.54,0.35,0.44,0.54,0.54,1.00,0.35,0.35,0.54",19,0.01,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
is gemini and taurus compatible,Informational,45,320,"1.00,0.29,0.54,0.29,0.29,0.23,0.15,0.23,0.29,0.23,0.44,0.67",23,0.03,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
is leo and capricorn compatible,Informational,46,320,"0.43,0.53,0.67,0.81,0.43,1.00,0.81,1.00,1.00,0.81,0.81,1.00",33,0.02,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
is taurus compatible with gemini,Informational,44,320,"1.00,0.35,0.23,0.44,0.44,0.35,0.23,0.35,1.00,0.35,0.66,0.66",23,0.03,0.03,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
is virgo and capricorn compatible,Informational,47,320,"0.54,0.54,0.66,0.81,0.66,0.66,0.66,0.66,1.00,0.66,0.66,0.81",18,0.02,0.04,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
jan sign,Informational,32,320,"0.28,0.00,0.11,0.00,0.06,0.11,0.22,0.06,1.00,0.06,0.03,0.06",6,0.04,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
july 22 sun sign,Informational,37,320,"0.14,1.00,0.00,0.00,0.14,0.29,0.00,0.00,0.00,0.00,0.00,0.00",26,0.07,0.33,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
july 3th zodiac,Informational,37,320,"0.63,0.13,1.00,0.13,0.13,0.25,0.44,0.50,0.19,0.13,0.19,0.00",30,0.00,0.33,"AI Overview, Reviews, Video, Short videos, People also ask, Related searches"
july signs,Informational,32,320,"0.35,0.80,1.00,0.50,0.80,0.05,0.20,0.15,0.35,0.15,0.40,0.15",29,0.04,0.01,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches"
june 29 is what zodiac sign,Informational,36,320,"0.15,1.00,0.08,0.23,0.31,0.15,0.15,0.08,0.08,0.23,0.15,0.23",16,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
june 5 1999 zodiac sign,Informational,38,320,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",14,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask"
june animal,Informational,31,320,"0.66,1.00,0.36,0.36,0.44,0.29,0.36,0.44,0.36,0.36,0.44,0.36",19,0.00,0.33,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
karkataka rasi,Informational,32,320,"0.44,0.29,0.29,0.24,0.24,0.44,0.29,0.36,0.36,0.36,1.00,0.29",26,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
kinds of relationships,Informational,43,320,"0.36,0.66,0.23,0.23,0.44,1.00,0.36,0.23,0.54,0.29,0.36,0.44",25,0.63,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
learn jyothisham,Informational,44,320,"0.44,0.67,0.29,0.29,0.54,0.44,0.54,0.81,1.00,0.67,0.81,0.81",19,1.25,0.39,"AI Overview, Video, Video carousel, People also ask, Related searches"
leo and gemini relationship compatibility,"Informational, Commercial",43,320,"0.31,1.00,0.15,0.38,0.77,0.15,0.23,0.23,0.23,0.00,0.23,0.15",23,0.03,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
leo and gemini sexually compatible,Informational,43,320,"1.00,0.82,0.82,0.36,0.65,0.24,0.36,0.29,0.15,0.36,0.24,0.09",21,0.01,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
leo and scorpio relationship,Informational,41,320,"0.56,0.44,0.44,0.67,0.83,0.56,0.67,0.67,1.00,1.00,0.67,0.83",23,0.03,0.06,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
leo astrology compatibility chart,Informational,45,320,"0.11,1.00,0.29,0.29,0.67,0.80,0.80,0.13,0.80,0.53,0.67,0.07",34,0.12,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
leo astrology matches,Informational,44,320,"1.00,0.65,0.23,0.23,0.42,0.42,0.65,0.65,0.81,0.65,0.52,0.65",31,0.03,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
leo compatible sign,Informational,48,320,"0.00,0.00,0.82,0.45,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",29,0.02,0.03,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
leo male and cancer female,Informational,39,320,"1.00,0.29,0.82,1.00,0.67,0.67,0.67,0.67,0.82,0.67,0.82,0.82",26,0.02,0.04,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
leo male and cancer female compatibility,Informational,42,320,"0.20,0.36,0.08,0.16,0.30,1.00,0.08,0.08,0.08,0.45,0.16,0.06",21,0.03,0.04,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
leo male and gemini female,Informational,42,320,"0.67,0.24,0.08,1.00,0.10,0.08,0.20,0.20,0.20,0.10,0.16,0.16",20,0.03,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
leo male and scorpio female compatibility,Informational,41,320,"0.29,0.14,0.43,0.81,0.22,1.00,0.81,1.00,1.00,0.66,1.00,1.00",18,0.02,0.05,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
leo male scorpio female,Informational,39,320,"0.33,0.33,1.00,0.67,0.33,0.42,0.42,0.42,1.00,0.54,0.83,0.54",15,0.02,0.07,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
leo man and a gemini woman,Informational,41,320,"0.00,1.00,0.00,0.00,0.00,0.00,0.72,0.00,0.88,0.00,0.00,1.00",20,0.02,0.04,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
leo man and a scorpio woman,Informational,38,320,"0.00,1.00,0.00,0.10,0.10,0.08,0.31,0.08,0.71,0.60,0.71,0.88",18,0.02,0.07,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches"
leo man and scorpio woman compatibility,Informational,43,320,"0.54,0.43,0.19,0.81,0.54,1.00,0.81,1.00,1.00,0.81,1.00,1.00",13,0.03,0.06,"Sitelinks, AI Overview, Video, People also ask, Related searches"
leo man best compatibility match,Commercial,43,320,"0.00,0.00,0.00,0.00,0.67,0.00,0.80,0.80,0.80,0.00,1.00,1.00",31,0.01,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
leo man capricorn woman compatibility,Informational,44,320,"0.29,0.66,0.43,1.00,0.35,1.00,1.00,1.00,1.00,0.81,1.00,1.00",12,0.03,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
leo man compatibility with scorpio woman,Informational,46,320,"0.43,0.35,0.29,0.29,0.43,1.00,0.81,1.00,1.00,0.66,1.00,1.00",13,0.03,0.06,"Sitelinks, AI Overview, Video, People also ask, Related searches"
leo opposite zodiac sign,Informational,38,320,"0.67,0.67,0.29,0.29,0.55,1.00,0.82,0.82,1.00,0.55,0.82,0.67",25,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
leo scorpio match,Informational,43,320,"0.16,1.00,0.06,0.24,0.10,0.19,0.16,0.19,0.12,0.19,0.19,0.16",29,0.02,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
leo star sign match,Informational,43,320,"1.00,0.66,0.22,0.22,0.43,0.43,0.66,0.66,0.81,0.66,0.54,0.66",30,0.03,0.02,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
leo woman and scorpio man compatibility,Informational,45,320,"0.52,0.65,0.42,0.52,0.35,0.35,0.81,0.65,1.00,0.52,0.42,0.52",21,0.03,0.06,"Sitelinks, AI Overview, Video, People also ask, Related searches"
leo zodiac chinese,Informational,37,320,"0.54,0.54,0.23,0.23,0.23,0.81,0.44,0.66,0.81,1.00,0.66,0.54",23,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
leo's are compatible with what sign,Informational,41,320,"0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.76,0.76,0.00",28,0.02,0.03,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
leos and geminis,Informational,41,320,"1.00,0.00,0.06,0.00,0.03,0.00,0.03,0.00,0.00,0.00,0.20,0.03",15,0.02,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
libra and libra relationship,Informational,43,320,"0.67,0.53,0.67,0.67,1.00,1.00,0.81,1.00,0.81,0.53,0.67,1.00",27,0.03,0.04,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
libra best love match,Commercial,39,320,"1.00,0.13,0.30,0.07,0.06,0.09,0.37,0.30,0.15,0.13,0.37,0.37",19,0.02,0.03,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches"
libra is most compatible with what sign,"Informational, Commercial",44,320,"0.00,0.00,0.00,0.23,0.23,0.81,0.81,0.81,0.81,0.66,1.00,1.00",27,0.04,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
libra man and libra woman,Informational,38,320,"0.81,0.81,0.81,0.67,0.67,1.00,0.54,0.54,0.54,0.44,0.54,0.54",16,0.02,0.03,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
libra man and libra woman compatibility,Informational,43,320,"0.53,0.82,0.67,0.82,1.00,1.00,1.00,1.00,1.00,0.82,1.00,1.00",19,0.01,0.04,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches"
libra man characteristics,Informational,38,320,"0.25,0.13,0.13,1.00,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05",34,0.03,0.11,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
libra on libra,Informational,40,320,"0.67,0.81,0.28,0.28,0.67,1.00,0.54,0.81,0.67,0.54,0.81,0.81",32,0.01,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
libra opposite sign,Informational,31,320,"1.00,0.80,0.67,0.80,0.67,1.00,0.67,0.67,0.67,0.43,0.53,0.80",32,0.00,0.33,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
libra virgo,Informational,44,320,"0.50,1.00,0.50,0.00,0.63,0.63,0.50,0.63,0.38,0.38,0.63,0.63",20,0.00,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
libras most compatible sign,Informational,42,320,"0.44,0.44,0.36,0.36,0.44,0.28,0.28,0.28,0.54,0.54,1.00,0.54",33,0.09,0.02,"AI Overview, Reviews, Image pack, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
life path 3 compatibility,Informational,45,320,"0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.67,0.81,0.67",31,0.00,0.33,"AI Overview, Reviews, Image pack, Video, People also ask"
life path 4 compatibility,Informational,46,320,"0.82,0.66,0.66,0.82,0.66,1.00,0.82,0.82,1.00,0.66,0.82,0.66",31,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
life path 5 compatibility,Informational,45,320,"1.00,0.82,0.82,0.82,0.82,1.00,1.00,0.82,0.82,0.66,0.82,0.66",31,0.00,0.33,"AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
life path 9 compatibility,Informational,48,320,"1.00,0.80,1.00,0.80,0.80,1.00,0.80,0.67,1.00,0.80,0.80,0.53",23,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask, Related searches"
lily lou opposite teams attract,Informational,46,320,"0.00,0.00,0.00,0.00,1.00,0.05,0.03,0.08,0.07,0.03,0.03,0.02",19,0.00,0.33,
limerence object,Informational,34,320,"0.15,0.07,0.19,0.29,0.12,0.29,0.15,0.29,0.54,0.67,0.81,1.00",33,0.04,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Things to know"
los retros someone to spend time with,"Informational, Transactional",29,320,"0.82,0.82,0.82,0.67,1.00,0.67,0.82,0.82,0.82,0.67,0.67,1.00",34,0.00,0.33,"Sitelinks, Video, Featured video, Video carousel, Short videos, People also ask, Knowledge panel, Related searches"
los signos,Informational,46,320,"1.00,1.00,0.50,1.00,0.50,1.00,1.00,0.50,0.00,0.00,1.00,0.50",34,0.00,0.04,"AI Overview, Video, Video carousel, Short videos, People also ask, Knowledge panel, Related searches"
love at first match quiz,Informational,39,320,"1.00,0.67,0.33,0.33,0.29,0.13,0.04,0.04,0.13,0.04,0.04,0.00",33,0.00,0.02,"Video, Related searches"
love not found,Navigational,43,320,"0.81,0.81,0.81,0.67,0.67,1.00,1.00,0.81,0.67,0.54,0.54,0.54",26,0.00,0.33,"Sitelinks, Video, Knowledge panel, Related searches"
love of leo,Informational,33,320,"0.02,0.02,0.11,0.72,1.00,1.00,0.04,0.11,0.14,0.11,0.14,0.14",22,0.03,0.01,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
male cancer and female cancer,Informational,36,320,"1.00,0.81,0.23,0.23,0.44,0.44,0.44,0.44,0.44,0.44,0.66,0.54",30,0.01,0.04,"Sitelinks, People also ask, Discussions and forums, Related searches"
male pisces and female taurus,Informational,37,320,"0.54,0.54,0.67,0.81,0.67,0.81,0.81,0.81,0.81,0.81,1.00,0.81",21,0.04,0.03,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
male scorpio and female sagittarius,Informational,37,320,"1.00,0.81,0.23,0.23,0.66,0.81,0.81,0.44,0.44,0.35,0.54,0.35",18,0.01,0.05,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
