Keyword,Intent,Relevance,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
myers briggs types defender,Informational,36,390,"0.00,0.00,0.10,0.73,1.00,1.00,0.00,0.00,0.89,0.00,0.00,0.00",29,0.02,0.01,"Image pack, Video, People also ask, Discussions and forums, Related searches"
n versus s myers briggs,Commercial,38,390,"0.10,0.20,0.01,0.36,1.00,0.03,0.05,0.04,0.03,0.05,0.07,0.04",18,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
openpsychometrics harry potter,"Navigational, Transactional",48,390,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,1.00,0.13,0.04,0.20",7,0.00,0.33,"Sitelinks, Related searches"
personajes enfp,Informational,40,390,"1.00,0.24,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",23,0.00,0.33,"Sitelinks, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
personality test enfp,Informational,49,390,"0.44,0.81,0.66,0.81,0.44,0.81,0.81,0.66,1.00,0.66,1.00,0.81",23,0.47,0.54,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
personality type campaigner,Informational,35,390,"0.13,0.24,0.10,0.67,0.08,1.00,0.08,0.05,0.13,0.03,0.16,0.67",32,0.05,0.02,"AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
rare enneagram types,Informational,51,390,"1.00,1.00,1.00,1.00,1.00,1.00,0.80,0.80,1.00,0.80,1.00,0.80",20,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
riso hudson,Informational,33,390,"0.10,1.00,0.30,0.24,0.08,0.00,0.24,0.00,0.81,0.00,0.00,0.30",18,1.08,0.11,"Sitelinks, Reviews, Video, People also ask, Knowledge panel, Related searches"
s vs n myers briggs,"Informational, Commercial",37,390,"1.00,0.31,0.11,0.00,0.12,0.11,0.11,0.08,0.11,0.08,0.11,0.12",27,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
so2 enneagram,Informational,51,390,"0.08,0.10,0.10,0.10,0.13,0.10,0.10,0.10,0.16,0.30,1.00,1.00",7,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
so3 enneagram,Informational,51,390,"0.08,0.08,0.08,0.10,0.08,0.10,0.13,0.10,0.20,0.24,1.00,1.00",7,0.00,0.33,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches"
so4 enneagram,Informational,48,390,"0.08,0.08,0.07,0.07,0.05,0.11,0.13,0.11,0.20,0.31,1.00,0.84",5,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
so6,Informational,28,390,"0.20,0.24,0.16,0.30,0.30,0.13,0.16,0.13,0.24,0.45,1.00,0.67",19,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
sp2 enneagram,Informational,51,390,"0.10,0.13,0.10,0.10,0.13,0.13,0.16,0.08,0.30,0.30,1.00,1.00",10,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
sp4 enneagram,Informational,49,390,"0.13,0.10,0.08,0.08,0.08,0.20,0.13,0.13,0.20,0.36,1.00,1.00",13,0.00,0.33,"Sitelinks, Video, Video carousel, People also ask, Related searches, Things to know"
sp6 enneagram,Informational,49,390,"0.08,0.11,0.11,0.13,0.08,0.13,0.11,0.16,0.20,0.25,0.84,1.00",21,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
sp7 enneagram,Informational,50,390,"0.10,0.10,0.03,0.08,0.13,0.13,0.16,0.16,0.16,0.30,1.00,1.00",14,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
suzanne stabile,Informational,26,390,"0.60,0.40,0.60,0.60,0.60,1.00,0.40,0.40,0.40,0.20,0.20,0.20",32,0.65,0.10,"Sitelinks, Reviews, Image, Image pack, Video, Video carousel, People also ask, Top stories, Related searches"
sx5 enneagram,Informational,45,390,"0.17,0.17,0.17,0.21,0.17,0.32,0.26,0.17,0.32,0.48,1.00,1.00",23,0.00,0.33,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
the art of growth enneagram test,"Informational, Transactional",59,390,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.01,0.02,0.01,0.01,0.00",34,1.02,0.22,"AI Overview, Reviews, Video, Related searches"
the entertainer mbti,Informational,39,390,"0.67,0.43,1.00,0.81,0.81,1.00,0.67,0.54,0.67,0.67,0.81,0.81",32,0.01,0.01,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
type 3 personality,Informational,56,390,"0.67,0.81,0.81,1.00,1.00,1.00,1.00,0.81,0.81,0.67,0.67,0.81",24,1.24,0.04,"AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches"
type 5 enneagram personality,Informational,61,390,"0.71,1.00,0.06,0.04,0.13,0.15,0.08,0.08,0.48,0.38,0.13,0.10",29,0.64,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
type a vs type b personality quiz,Commercial,34,390,"0.24,0.03,0.08,0.00,0.08,0.05,0.04,0.05,0.62,0.20,0.00,1.00",24,0.41,0.52,"Sitelinks, Video, Related searches"
type f personality,Informational,39,390,"0.81,0.65,0.42,0.52,0.42,0.52,0.81,0.52,0.52,0.52,0.81,1.00",30,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
type nine enneagram,Informational,67,390,"0.25,0.00,0.37,0.31,0.05,0.05,0.00,0.02,1.00,0.12,0.00,0.00",29,0.41,0.08,"AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches"
what is a infp,Informational,38,390,"0.21,0.17,0.32,1.00,0.14,0.17,0.21,0.21,0.59,0.21,0.59,0.21",29,0.14,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches"
what is a intj,Informational,42,390,"0.55,0.55,1.00,0.55,0.65,0.65,0.55,0.09,0.15,0.09,0.11,0.11",29,0.14,0.04,"AI Overview, Image, Video, People also ask, Related searches"
شخصیت,Informational,31,390,"0.54,0.67,1.00,1.00,0.67,0.67,0.67,0.44,0.15,0.19,0.10,0.15",16,0.00,0.33,"Sitelinks, Reviews, Instant answer, Video, Video carousel, Related searches"
九型人格测试,Informational,44,390,"0.00,1.00,0.00,0.00,0.00,0.03,0.04,0.05,0.03,0.05,0.03,0.00",15,0.83,0.59,"Sitelinks, Video, Related searches"
16 personalidades,Navigational,41,320,"0.54,1.00,0.67,1.00,1.00,1.00,0.67,0.67,0.81,0.54,0.67,0.81",34,0.06,0.15,"Sitelinks, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
2 wing 3,Informational,47,320,"0.67,0.80,0.80,1.00,1.00,0.80,1.00,0.53,0.80,0.80,0.80,0.67",21,0.74,0.02,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
2w2,Informational,48,320,"0.36,0.36,0.66,0.44,0.44,0.44,0.81,1.00,1.00,0.44,0.36,0.66",7,0.00,0.02,"AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
3 wing 2,Informational,46,320,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.66,1.00,0.81,1.00,0.81",23,0.74,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches"
3 wing 4 enneagram,Informational,61,320,"0.55,0.55,0.67,1.00,0.67,0.82,0.67,0.67,0.82,0.55,0.55,0.55",13,0.78,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask"
4 en roman,Informational,49,320,"0.66,0.66,0.35,0.22,0.66,1.00,1.00,0.81,1.00,0.81,1.00,1.00",33,0.00,0.01,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
5 es,Informational,47,320,"0.24,1.00,0.15,0.30,0.36,0.82,0.15,0.12,0.54,0.30,0.30,0.30",28,2.61,0.03,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
6 7 gifts,Informational,49,320,"0.00,0.00,0.00,0.13,0.05,0.07,1.00,0.37,0.04,0.20,0.00,0.00",22,0.44,0.38,"Sitelinks, Reviews, Image, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
6 enneagram type,Informational,66,320,"0.11,0.08,0.08,0.13,0.13,0.08,0.05,0.05,1.00,0.04,0.07,0.03",26,0.39,0.02,"AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
7 personality types,Informational,54,320,"1.00,0.66,0.52,0.82,0.82,0.82,0.66,0.66,0.66,0.66,0.66,0.66",23,0.47,0.07,"Sitelinks, AI Overview, Video, People also ask"
all enneagram types,Informational,67,320,"0.54,0.44,0.44,0.66,0.54,0.54,0.54,0.44,0.66,0.54,1.00,0.81",31,0.32,0.12,"Sitelinks, AI Overview, Image, Image pack, Video, Short videos, People also ask, Related searches, Ads top, Ads bottom"
archetype personality test,"Informational, Commercial",36,320,"0.52,0.44,0.80,0.64,0.52,0.64,0.52,0.52,1.00,0.64,0.80,0.64",33,0.87,0.54,"Sitelinks, Reviews, Video, Video carousel, People also ask, Related searches, Things to know"
best careers for enfp,Commercial,36,320,"1.00,0.81,0.81,1.00,1.00,1.00,0.81,0.67,1.00,1.00,1.00,0.81",27,0.57,0.03,"Sitelinks, AI Overview, Video, People also ask, Related searches"
best careers for intj,Commercial,31,320,"0.67,0.67,0.82,0.67,0.67,1.00,0.55,0.55,1.00,0.55,0.67,0.67",28,0.38,0.03,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
best jobs for enfp,Commercial,36,320,"0.81,0.81,0.81,1.00,1.00,1.00,0.81,0.67,1.00,1.00,1.00,0.81",24,0.40,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
best mbti,"Informational, Commercial",36,320,"0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.67,0.67,0.81,0.81,0.67",32,1.03,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
best personality type,Informational,38,320,"0.82,0.82,0.82,0.82,0.82,0.67,0.67,0.82,1.00,0.82,0.67,0.82",24,0.95,0.02,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
careers for enfj,"Informational, Commercial",41,320,"0.23,0.18,0.35,0.66,1.00,0.81,0.66,0.44,0.66,0.66,0.81,0.66",21,0.50,0.01,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
careers for isfj,Commercial,33,320,"0.47,0.11,0.13,0.08,1.00,0.26,0.11,0.59,0.32,0.32,0.08,0.07",22,0.13,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
celebrities intp,Informational,32,320,"1.00,0.36,0.09,0.65,0.65,0.55,0.29,0.44,0.36,0.24,0.29,0.36",30,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
celebrity intj,Informational,36,320,"1.00,0.12,0.16,0.07,0.06,0.19,0.37,0.00,0.16,0.12,0.37,0.29",12,0.02,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
characters mbti,Informational,37,320,"0.81,0.18,0.34,0.43,0.43,0.66,0.66,0.54,0.18,0.34,0.66,1.00",26,0.00,0.33,"Sitelinks, Image pack, Video, Video carousel, Related searches"
cognitive functions enfp,Informational,40,320,"0.54,0.54,1.00,0.24,0.36,0.24,0.24,0.29,0.36,0.19,0.54,0.44",34,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
cognitive functions intp,Informational,38,320,"1.00,0.53,0.44,0.29,0.44,0.36,0.80,0.36,0.44,0.22,0.53,0.53",25,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
define intp,Informational,36,320,"1.00,0.08,0.11,0.08,0.06,0.22,0.19,0.22,0.28,0.28,0.28,0.36",27,0.12,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
eneagram 6,Informational,59,320,"0.00,1.00,0.07,0.19,0.74,0.04,0.00,0.37,0.00,0.15,0.11,0.19",25,0.30,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches"
eneagram 8,Informational,51,320,"0.08,0.08,0.03,0.03,0.06,1.00,0.36,0.22,0.00,0.06,0.08,0.06",19,0.39,0.07,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Things to know, Ads bottom"
enegram 3,Informational,62,320,"0.11,0.11,0.04,0.04,1.00,0.00,0.31,0.00,0.00,0.02,0.05,0.31",29,0.32,0.03,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Things to know"
enegram 7,Informational,55,320,"0.36,0.28,0.19,0.22,0.56,1.00,0.28,0.19,0.28,0.22,0.36,0.44",18,0.33,0.04,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
enfj and enfp compatibility,Informational,41,320,"0.54,0.54,0.81,0.54,1.00,1.00,0.66,0.66,0.54,0.81,0.66,0.81",13,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
enfj people,Informational,49,320,"0.53,0.67,0.80,0.80,0.80,1.00,0.67,0.53,0.80,0.67,1.00,0.67",28,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
enfj t personality,Informational,44,320,"0.44,0.44,0.67,0.82,0.82,0.55,0.82,0.67,1.00,0.67,0.67,0.67",33,0.04,0.01,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches"
enfp jobs careers,Commercial,37,320,"0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00,1.00,0.00",20,0.40,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches"
enfp personality test,Informational,43,320,"0.15,0.23,0.19,0.29,0.19,0.23,0.44,0.66,0.81,1.00,0.66,0.44",21,0.47,0.54,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
enfp t characters,Informational,41,320,"0.66,0.66,0.81,0.81,1.00,0.11,0.81,0.35,0.81,0.11,0.15,0.11",25,0.00,0.33,"Sitelinks, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
enfp weaknesses,Informational,43,320,"0.54,0.44,0.44,0.81,1.00,0.54,0.54,0.54,0.44,0.44,0.54,0.54",15,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
enfp-a careers,"Informational, Commercial",38,320,"0.00,0.00,0.03,0.03,0.03,1.00,0.00,0.82,0.82,0.82,0.19,0.82",30,0.44,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches"
enfp是什么,Informational,36,320,"0.04,0.05,0.00,1.00,0.00,0.00,0.03,0.04,0.03,0.03,0.03,0.03",34,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
enjp,Informational,44,320,"1.00,0.01,0.56,0.20,0.25,0.16,0.00,0.00,0.12,0.12,0.56,0.16",31,0.11,0.01,"AI Overview, Video, People also ask, Related searches"
ennagram 4,Informational,57,320,"0.00,0.67,0.35,0.24,0.11,0.54,0.54,0.00,0.00,0.11,0.67,1.00",27,0.41,0.05,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches, Things to know"
ennagram 9,Informational,58,320,"0.84,0.43,0.19,0.19,0.35,0.35,0.30,0.08,0.19,0.54,1.00,0.68",25,0.22,0.04,"AI Overview, Image pack, Video, People also ask, Related searches"
enne meaning,Informational,46,320,"0.00,0.00,1.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01",19,0.00,0.33,"AI Overview, Reviews, Video, People also ask, Related searches"
enneagram 3 wing 4,Informational,59,320,"0.52,0.66,1.00,0.66,0.66,0.82,0.82,0.66,1.00,0.66,0.66,0.82",15,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
enneagram and mbti,Informational,60,320,"0.54,0.54,0.54,0.81,0.54,0.81,0.22,0.14,1.00,0.81,1.00,0.18",18,0.73,0.15,"Sitelinks, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
enneagram circle,Informational,66,320,"0.55,0.55,0.67,1.00,0.67,0.55,0.44,0.44,0.55,0.55,0.67,0.82",27,0.99,0.50,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
enneagram loyalist,Informational,61,320,"0.80,0.67,0.80,1.00,1.00,0.80,0.80,0.67,0.80,0.67,0.80,0.80",16,0.18,0.05,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
enneagram peacemaker,Informational,57,320,"0.82,0.82,0.82,1.00,1.00,1.00,0.82,0.82,1.00,0.82,0.82,0.82",14,0.14,0.07,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
enneagram personality 7,Informational,60,320,"0.64,0.28,0.28,0.32,0.80,0.80,0.64,0.44,0.52,0.64,0.80,1.00",20,0.33,0.04,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
enneagram personality 8,Informational,60,320,"0.67,0.28,0.22,0.83,0.83,0.56,0.44,0.56,0.67,0.56,1.00,0.83",21,0.38,0.05,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Ads bottom, Ads middle"
enneagram six,Informational,62,320,"0.44,0.80,0.64,0.80,0.80,0.64,0.52,0.52,1.00,0.64,0.64,0.52",29,0.28,0.04,"Sitelinks, AI Overview, Video, People also ask, Related searches"
enneagram symbol,Informational,59,320,"0.67,0.55,0.82,0.67,0.67,1.00,0.55,0.55,0.67,0.55,0.67,0.67",5,0.00,0.47,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches"
enneagram triad,Informational,60,320,"0.23,0.07,0.29,0.01,0.44,0.19,0.36,0.36,0.12,0.54,1.00,0.29",16,2.16,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
enneagram tritype test,Informational,61,320,"0.42,0.42,0.65,0.52,0.52,0.52,0.65,0.42,0.52,0.65,1.00,1.00",20,0.39,0.19,"Sitelinks, Image, Video, Related searches"
enneagram types 7,Informational,59,320,"0.34,0.22,0.54,0.66,1.00,0.54,0.54,0.34,0.54,0.43,0.66,0.81",20,0.37,0.02,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Ads bottom, Ads middle"
enneagram types with wings,Informational,63,320,"0.54,1.00,1.00,0.81,0.67,0.81,0.67,0.67,0.81,0.54,0.43,0.67",21,0.54,0.16,"Sitelinks, AI Overview, Video, People also ask, Related searches"
ennegram 5w4,Informational,56,320,"0.14,0.56,0.44,0.44,0.44,0.67,0.67,0.83,0.83,1.00,0.83,1.00",21,0.53,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
ennegram type 5,Informational,65,320,"0.10,0.40,0.35,1.00,0.55,0.80,0.55,0.35,0.00,0.40,1.00,1.00",29,0.35,0.03,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
ennegram type 6,Informational,65,320,"0.07,0.10,0.73,0.32,0.49,0.32,0.32,0.24,1.00,0.24,0.24,0.24",22,0.39,0.02,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Things to know"
entertainer personality,Informational,40,320,"0.53,0.43,0.43,0.80,1.00,0.80,0.67,0.43,0.53,0.53,0.53,0.43",28,0.00,0.33,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
entj and infj compatibility,Informational,42,320,"0.82,0.82,1.00,1.00,0.82,0.82,0.82,0.66,0.82,0.53,0.66,0.53",9,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
entj car,Informational,47,320,"1.00,0.00,0.00,0.00,0.00",19,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
entj people,Informational,47,320,"0.67,0.67,0.67,0.82,0.82,1.00,0.82,0.53,0.67,0.82,0.67,0.53",22,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
entj women,Informational,40,320,"0.81,1.00,0.81,0.81,0.81,1.00,1.00,0.81,0.81,0.81,1.00,0.67",10,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
entp 7w8,Informational,45,320,"0.82,0.82,0.82,0.82,1.00,1.00,0.82,0.82,0.82,0.67,1.00,0.82",15,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
entp personality traits,Informational,45,320,"1.00,0.80,0.80,0.64,0.52,0.64,0.44,0.44,0.52,0.52,0.08,0.52",25,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
entp traits,Informational,44,320,"1.00,1.00,0.83,0.83,0.67,0.56,0.56,0.56,0.67,0.67,0.56,0.44",31,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
esfj mbti,Informational,45,320,"1.00,0.82,0.82,0.82,0.82,0.82,0.67,0.67,0.82,0.82,0.82,0.82",31,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
esfp compatibility,Informational,40,320,"0.64,0.80,0.80,0.80,0.64,0.64,0.64,0.64,1.00,0.64,0.64,0.44",16,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches"
estj famous people,Informational,38,320,"0.67,0.80,0.67,0.80,1.00,0.80,0.80,0.67,0.80,1.00,0.80,0.53",23,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
famous enfps,Informational,39,320,"0.00,0.65,0.44,0.18,0.36,0.44,0.55,1.00,0.36,0.82,0.44,0.55",30,0.00,0.33,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
famous estj people,Informational,36,320,"0.43,0.43,0.35,1.00,0.67,0.81,1.00,0.67,0.81,1.00,0.67,0.54",23,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
famous intps,Informational,33,320,"0.56,0.67,0.83,0.67,0.67,0.67,0.56,0.83,0.83,0.56,1.00,0.56",25,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
famous people intp,Informational,32,320,"1.00,0.31,0.06,0.63,0.63,0.50,0.25,0.31,0.31,0.63,0.25,0.31",24,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches"
female intj,Informational,29,320,"0.30,0.19,0.36,0.30,0.45,0.45,0.24,1.00,0.09,0.82,0.15,0.36",15,0.06,0.02,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
find my match pdb personality,Informational,43,320,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",28,0.00,0.00,"AI Overview, Video, People also ask, Related searches"
four personality types test,Informational,52,320,"1.00,0.67,0.67,1.00,0.67,0.81,0.67,0.54,0.67,0.54,0.67,0.81",16,0.60,0.39,"Sitelinks, Reviews, Image pack, Video, People also ask, Related searches"
her personality,Informational,39,320,"0.08,0.01,0.01,0.08,0.08,0.08,0.10,0.20,0.36,0.36,0.67,1.00",24,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
ieq9,Navigational,39,320,"0.81,0.67,0.81,0.67,0.81,1.00,0.54,0.43,0.67,0.67,0.81,0.54",5,5.97,0.35,"Sitelinks, Video, Video carousel, People also ask, Related searches"
infj and enfj compatibility,Informational,44,320,"0.80,0.33,0.53,1.00,1.00,0.53,0.67,0.67,0.67,0.67,0.67,0.43",7,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
infj and enfp compatibility,Informational,41,320,"0.43,0.81,1.00,0.66,0.81,0.66,0.81,0.54,0.81,0.66,0.54,0.54",18,0.00,0.33,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
infj with infp,Informational,44,320,"0.29,0.66,0.19,0.66,1.00,1.00,0.19,0.12,1.00,0.81,1.00,0.12",18,0.11,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches"
infp and entp,Informational,43,320,"0.66,0.22,0.66,0.22,0.28,0.28,0.66,0.18,0.54,0.66,0.66,1.00",9,0.00,0.33,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
infp career,Commercial,33,320,"0.80,0.33,0.17,0.03,0.23,1.00,0.53,0.07,0.10,0.10,0.07,0.10",31,0.35,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
infp personality strengths and weaknesses,Informational,41,320,"0.66,0.66,1.00,0.66,0.66,0.82,0.82,0.66,1.00,0.82,0.82,0.66",20,0.02,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
infp women,Informational,36,320,"0.07,0.08,0.07,0.07,0.05,0.07,0.07,0.05,0.05,0.16,0.44,1.00",19,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
infp-t jobs,Commercial,30,320,"0.04,0.01,0.01,0.02,0.03,0.04,1.00,0.08,0.00,0.05,0.03,0.05",28,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
infp-t vs infp-a,"Informational, Commercial",32,320,"0.11,0.07,0.03,0.00,0.07,0.11,1.00,0.08,0.08,0.08,0.20,0.13",22,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
instinctual variant,Informational,45,320,"0.29,0.46,0.54,0.33,0.17,0.54,0.54,0.33,0.54,0.46,1.00,0.54",33,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Things to know"
instinctual variants,Informational,46,320,"0.33,0.42,0.54,0.54,0.67,0.67,0.54,0.54,0.67,0.42,0.67,1.00",28,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
intj 5w6,Informational,38,320,"0.80,0.80,1.00,1.00,0.80,0.60,0.80,0.80,0.80,0.60,0.60,0.80",28,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
intj job,"Informational, Commercial",32,320,"0.35,0.35,0.35,0.44,0.81,0.81,1.00,0.44,0.66,0.35,0.44,0.66",28,0.41,0.02,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
intj rare,Informational,37,320,"0.67,0.54,0.67,1.00,0.67,0.81,0.81,0.54,0.67,0.67,0.67,0.81",27,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
isfj a,Informational,41,320,"0.53,0.67,0.67,1.00,0.80,0.11,0.44,0.53,0.44,0.18,0.18,0.13",34,0.04,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
logician myers briggs,Informational,40,320,"0.55,1.00,0.67,0.82,0.67,0.35,0.29,0.29,1.00,0.82,0.82,0.55",24,0.01,0.01,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
mbti introvert,Informational,32,320,"1.00,0.66,0.81,0.81,0.81,0.66,0.54,0.66,0.81,0.81,0.22,0.29",18,0.73,0.03,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
mbti percentages,Informational,39,320,"1.00,0.04,0.80,1.00,0.80,1.00,0.44,0.52,0.80,0.52,0.64,0.32",25,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
