Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
サムライ チャンプルー フウ,66,66,210,32,0.00,https://character-seikaku.memo.wiki/d/%A5%B5%A5%E0%A5%E9%A5%A4%A5%C1%A5%E3%A5%F3%A5%D7%A5%EB%A1%BC,0,0,0.00,0.01,163,"81, 66, 53, 53, 66, 66, 66, 66, 66, 66, 66, 100",2026-08-13,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches","informational, transactional",Organic
小山内 ゆき,29,29,1000,32,0.00,https://character-seikaku.memo.wiki/d/%BE%AE%BB%D4%CC%B1%A5%B7%A5%EA%A1%BC%A5%BA,0,0,0.00,0.33,68,"100, 53, 28, 24, 20, 20, 16, 16, 13, 11, 11, 13",2026-07-09,"Image pack, Reviews, People also ask, Related searches",informational,Organic
美 風 藍 身長,33,33,480,13,0.00,https://character-seikaku.memo.wiki/d/%A4%A6%A4%BF%A4%CE%A1%F9%A5%D7%A5%EA%A5%F3%A5%B9%A4%B5%A4%DE%A4%C3%A2%F6,0,0,0.00,0.33,83,"100, 67, 55, 30, 24, 24, 67, 30, 44, 55, 55, 67",2026-07-27,"Image pack, Sitelinks, Image, People also ask, Related searches, AI overview",informational,Organic
リボーン 身長,53,53,90,19,0.00,https://character-seikaku.memo.wiki/d/%B2%C8%C4%ED%B6%B5%BB%D5%A5%D2%A5%C3%A5%C8%A5%DE%A5%F3REBORN%21,0,0,0.00,0.33,103,"50, 79, 64, 64, 79, 50, 79, 100, 79, 50, 64, 64",2026-06-27,"Image pack, Sitelinks, People also ask, Related searches",informational,Organic
三国志 武将 診断,49,49,90,15,0.00,https://character-seikaku.memo.wiki/d/%BB%B0%B9%F1%BB%D6%20Three%20Kingdoms,0,0,0.00,0.33,107,"1, 4, 12, 1, 1, 3, 100, 12, 1, 1, 1, 1",2026-07-23,"Sitelinks, Video, Related searches",commercial,Organic
ニセコイ キャラ,44,44,2400,24,0.00,https://character-seikaku.memo.wiki/d/%A5%CB%A5%BB%A5%B3%A5%A4,0,0,0.00,0.33,115,"66, 83, 83, 83, 83, 83, 83, 100, 83, 83, 83, 100",2026-07-09,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
school days キャラ,36,36,320,28,0.00,https://character-seikaku.memo.wiki/d/School%20Days,0,0,0.00,0,157,"19, 15, 54, 54, 44, 100, 100, 81, 67, 81, 54, 67",2026-06-30,"Image pack, Reviews, Video, Image, People also ask, Related searches",informational,Organic
マギ 相関 図,44,44,110,17,0.00,https://character-seikaku.memo.wiki/d/%A5%DE%A5%AE,0,0,0.00,0.33,132,"43, 52, 43, 33, 43, 52, 81, 67, 33, 24, 33, 100",2026-08-06,"Image pack, Video, People also ask, Related searches",informational,Organic
istp 女性 有名人,36,36,210,14,0.00,https://character-seikaku.memo.wiki/d/ISTP%A1%CA%B5%BB%C7%BD%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,0,0,0.00,0.33,118,"44, 53, 53, 53, 66, 100, 81, 53, 81, 53, 81, 53",2026-08-02,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
mbti ドラゴンボール,35,35,70,14,0.00,https://character-seikaku.memo.wiki/d/%A5%C9%A5%E9%A5%B4%A5%F3%A5%DC%A1%BC%A5%EBDAIMA,0,0,0.00,0.33,104,"34, 100, 53, 53, 3, 3, 3, 6, 3, 3, 9, 22",2026-07-22,"Sitelinks, Image, People also ask, Related searches",informational,Organic
エニアグラム タイプ 7,48,48,590,13,0.00,https://character-seikaku.memo.wiki/d/%A5%A8%A5%CB%A5%A2%A5%B0%A5%E9%A5%E0%20%A5%BF%A5%A4%A5%D77,0,0,0.00,0.01,104,"100, 100, 82, 82, 100, 67, 82, 54, 54, 54, 67, 54",2026-06-26,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
mbti ヤンデレ,16,16,110,26,0.00,https://character-seikaku.memo.wiki/d/%A5%E4%A5%F3%A5%C7%A5%EC%A4%CE%BD%F7%A4%CE%BB%D2%A4%CB%BB%E0%A4%CC%A4%DB%A4%C9%B0%A6%A4%B5%A4%EC%A4%C6%CC%B2%A4%EC%A4%CA%A4%A4CD%A5%B7%A5%EA%A1%BC%A5%BA,0,0,0.00,0.33,109,"64, 79, 79, 100, 100, 100, 100, 79, 64, 100, 79, 79",2026-07-03,"Image pack, Video, Video Carousel, People also ask, Related searches",informational,Organic
mbti ヤンデレ,21,21,110,26,0.00,https://character-seikaku.memo.wiki/d/%A5%E4%A5%F3%A5%C7%A5%EC%A4%CE%BD%F7%A4%CE%BB%D2%A4%CB%BB%E0%A4%CC%A4%DB%A4%C9%B0%A6%A4%B5%A4%EC%A4%C6%CC%B2%A4%EC%A4%CA%A4%A4CD%A5%B7%A5%EA%A1%BC%A5%BA,0,0,0.00,0.33,109,"64, 79, 79, 100, 100, 100, 100, 79, 64, 100, 79, 79",2026-07-03,"Image pack, Video, Video Carousel, People also ask, Related searches",informational,Organic
mbti ヤンデレ,78,78,110,26,0.00,https://character-seikaku.memo.wiki/d/THE%20IDOLM%40STER%20CINDERELLA%20GIRLS,0,0,0.00,0.33,109,"64, 79, 79, 100, 100, 100, 100, 79, 64, 100, 79, 79",2026-07-03,"Image pack, Video, Video Carousel, People also ask, Related searches",informational,Organic
性格 診断 ポケモン,42,42,140,18,0.00,https://character-seikaku.memo.wiki/d/%A5%DD%A5%B1%A5%C3%A5%C8%A5%E2%A5%F3%A5%B9%A5%BF%A1%BC%A1%CA%B8%B6%BA%EE%A1%CB,0,0,0.00,0,111,"7, 3, 3, 100, 29, 2, 2, 29, 66, 2, 2, 44",2026-08-07,"Image pack, Video, People also ask, Related searches",informational,Organic
性格 診断 ポケモン,61,61,140,18,0.00,https://character-seikaku.memo.wiki/d/%A5%DD%A5%B1%A5%C3%A5%C8%A5%E2%A5%F3%A5%B9%A5%BF%A1%BC,0,0,0.00,0,111,"7, 3, 3, 100, 29, 2, 2, 29, 66, 2, 2, 44",2026-08-07,"Image pack, Video, People also ask, Related searches",informational,Organic
infj wiki,25,25,90,29,0.00,https://character-seikaku.memo.wiki/d/INFJ%A1%CA%A5%AB%A5%A6%A5%F3%A5%BB%A5%E9%A1%BC%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,0,0,0.00,0.33,115,"79, 79, 100, 64, 64, 64, 79, 64, 64, 64, 50, 64",2026-07-28,"Video, Related searches, AI overview",informational,Organic
infj wiki,31,31,90,29,0.00,https://character-seikaku.memo.wiki/d/INFJ%A1%CA%A5%AB%A5%A6%A5%F3%A5%BB%A5%E9%A1%BC%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,0,0,0.00,0.33,115,"79, 79, 100, 64, 64, 64, 79, 64, 64, 64, 50, 64",2026-07-28,"Video, Related searches, AI overview",informational,Organic
infj wiki,36,36,90,29,0.00,https://character-seikaku.memo.wiki/d/INFP-INFJ,0,0,0.00,0.33,115,"79, 79, 100, 64, 64, 64, 79, 64, 64, 64, 50, 64",2026-07-28,"Video, Related searches, AI overview",informational,Organic
infj wiki,50,50,90,29,0.00,https://character-seikaku.memo.wiki/d/INFJ-INTJ,0,0,0.00,0.33,115,"79, 79, 100, 64, 64, 64, 79, 64, 64, 64, 50, 64",2026-07-28,"Video, Related searches, AI overview",informational,Organic
infj wiki,68,68,90,29,0.00,https://character-seikaku.memo.wiki/d/INFJ-INTJ,0,0,0.00,0.33,115,"79, 79, 100, 64, 64, 64, 79, 64, 64, 64, 50, 64",2026-07-28,"Video, Related searches, AI overview",informational,Organic
infj wiki,85,85,90,29,0.00,https://character-seikaku.memo.wiki/d/INFJ%A1%CA%A5%AB%A5%A6%A5%F3%A5%BB%A5%E9%A1%BC%A1%CB,0,0,0.00,0.33,115,"79, 79, 100, 64, 64, 64, 79, 64, 64, 64, 50, 64",2026-07-28,"Video, Related searches, AI overview",informational,Organic
学校 の 怪談 キャラクター,32,32,140,31,0.00,https://character-seikaku.memo.wiki/d/%B3%D8%B9%BB%A4%CE%B2%F8%C3%CC,0,0,0.00,0.33,146,"65, 100, 100, 65, 42, 42, 35, 54, 54, 54, 54, 42",2026-07-04,"Image pack, Reviews, Video, Image, People also ask, Related searches, AI overview",informational,Organic
ジョーカー 性格,13,13,70,30,0.00,https://character-seikaku.memo.wiki/d/%A5%B8%A5%E7%A1%BC%A5%AB%A1%BC,0,0,0.00,0.33,117,"100, 3, 81, 3, 12, 3, 6, 3, 3, 6, 3, 3",2026-07-26,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
ジョーカー 性格,26,26,70,30,0.00,https://character-seikaku.memo.wiki/d/%A5%B8%A5%E7%A1%BC%A5%AB%A1%BC,0,0,0.00,0.33,117,"100, 3, 81, 3, 12, 3, 6, 3, 3, 6, 3, 3",2026-07-26,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
ガン パレード マーチ キャラ,26,26,90,13,0.00,https://character-seikaku.memo.wiki/d/%B9%E2%B5%A1%C6%B0%B8%B8%C1%DB%A5%AC%A5%F3%A5%D1%A5%EC%A1%BC%A5%C9%A1%A6%A5%DE%A1%BC%A5%C1,0,0,0.00,0.33,175,"50, 50, 79, 64, 36, 50, 50, 50, 79, 79, 100, 100",2026-07-26,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
ゴー バスターズ ヒロム,55,55,140,32,0.00,https://character-seikaku.memo.wiki/d/%C6%C3%CC%BF%C0%EF%C2%E2%A5%B4%A1%BC%A5%D0%A5%B9%A5%BF%A1%BC%A5%BA,0,0,0.00,0.33,184,"54, 100, 100, 54, 42, 54, 54, 54, 54, 35, 42, 54",2026-06-25,"Knowledge panel, Image pack, Video, Image, People also ask, Related searches","informational, transactional",Organic
シャドバ 診断,35,35,1600,34,0.00,https://character-seikaku.memo.wiki/d/Shadowverse,0,0,0.00,0.33,108,"100, 82, 16, 66, 7, 43, 7, 36, 7, 36, 7, 43",2026-08-06,"Image pack, Video, Image, Video Carousel, Related searches",informational,Organic
響け ユーフォニアム キャラ 診断,34,34,110,4,0.00,https://character-seikaku.memo.wiki/d/%B6%C1%A4%B1%A1%AA%A5%E6%A1%BC%A5%D5%A5%A9%A5%CB%A5%A2%A5%E0%28%A5%A8%A5%CB%A5%A2%A5%B0%A5%E9%A5%E0%29,0,0,0.00,0.33,99,"1, 3, 3, 5, 1, 1, 3, 1, 3, 100, 36, 1",2026-07-26,"Video, Related searches",commercial,Organic
この 世界 の 片隅 に すず モデル,47,47,110,20,0.00,https://character-seikaku.memo.wiki/d/%A4%B3%A4%CE%C0%A4%B3%A6%A4%CE%CA%D2%B6%F9%A4%CB,0,0,0.00,0.33,129,"100, 81, 5, 2, 2, 3, 3, 2, 2, 2, 2, 2",2026-08-14,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
ポケモン 個性 一覧,45,45,480,17,0.00,https://character-seikaku.memo.wiki/d/%A5%DD%A5%B1%A5%C3%A5%C8%A5%E2%A5%F3%A5%B9%A5%BF%A1%BC%A1%CA%B8%B6%BA%EE%A1%CB,0,0,0.00,0.33,108,"17, 48, 48, 100, 100, 72, 48, 39, 39, 17, 32, 32",2026-07-26,"Image pack, Video, Image, Related searches",informational,Organic
トム と ジェリー アニヲタ,17,17,110,21,0.00,https://character-seikaku.memo.wiki/d/%A5%C8%A5%E0%A4%C8%A5%B8%A5%A7%A5%EA%A1%BC,0,0,0.00,0.33,164,"100, 44, 66, 2, 7, 2, 2, 2, 2, 15, 2, 2",2026-06-30,"People also ask, Related searches",navigational,Organic
ぼく たち は 勉強 が できない 人気 投票,67,67,140,5,0.00,https://character-seikaku.memo.wiki/d/%A4%DC%A4%AF%A4%BF%A4%C1%A4%CF%CA%D9%B6%AF%A4%AC%A4%C7%A4%AD%A4%CA%A4%A4,0,0,0.00,0.33,2480000,"67, 52, 52, 100, 67, 81, 52, 52, 52, 67, 43, 43",2026-06-27,"Image pack, Reviews, Video, People also ask, Related searches",informational,Organic
キャラ mbti,46,46,1600,17,0.00,https://character-seikaku.memo.wiki/d/%BC%E7%BF%CD%B8%F8%A5%AD%A5%E3%A5%E9%B0%EC%CD%F7,0,0,0.00,0.33,157,"67, 67, 100, 79, 67, 54, 67, 67, 54, 54, 67, 67",2026-07-08,"Image pack, Video, People also ask, Related searches",informational,Organic
キャラ mbti,49,49,1600,17,0.00,https://character-seikaku.memo.wiki/d/%BC%E7%BF%CD%B8%F8%A5%AD%A5%E3%A5%E9%B0%EC%CD%F7,0,0,0.00,0.33,157,"67, 67, 100, 79, 67, 54, 67, 67, 54, 54, 67, 67",2026-07-08,"Image pack, Video, People also ask, Related searches",informational,Organic
キャラ mbti,56,56,1600,17,0.00,https://character-seikaku.memo.wiki/d/%A5%BF%A5%A4%A5%D7%B4%D6%A4%CE%C8%E6%B3%D3,0,0,0.00,0.33,157,"67, 67, 100, 79, 67, 54, 67, 67, 54, 54, 67, 67",2026-07-08,"Image pack, Video, People also ask, Related searches",informational,Organic
キャラ mbti,66,66,1600,17,0.00,https://character-seikaku.memo.wiki/d/ISFJ%A1%CA%BC%E9%B8%EE%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,0,0,0.00,0.33,157,"67, 67, 100, 79, 67, 54, 67, 67, 54, 54, 67, 67",2026-07-08,"Image pack, Video, People also ask, Related searches",informational,Organic
キャラ mbti,72,72,1600,17,0.00,https://character-seikaku.memo.wiki/d/%A5%B8%A5%E3%A5%F3%A5%EB%CA%CC%BA%EE%C9%CA%B0%EC%CD%F7,0,0,0.00,0.33,157,"67, 67, 100, 79, 67, 54, 67, 67, 54, 54, 67, 67",2026-07-08,"Image pack, Video, People also ask, Related searches",informational,Organic
キャラ mbti,87,87,1600,17,0.00,https://character-seikaku.memo.wiki/d/%A5%BF%A5%A4%A5%D7%A4%CE%B2%F2%C0%E2,0,0,0.00,0.33,157,"67, 67, 100, 79, 67, 54, 67, 67, 54, 54, 67, 67",2026-07-08,"Image pack, Video, People also ask, Related searches",informational,Organic
キャラ mbti,94,94,1600,17,0.00,https://character-seikaku.memo.wiki/d/ENFP%A1%CA%CD%CA%B8%EE%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,0,0,0.00,0.33,157,"67, 67, 100, 79, 67, 54, 67, 67, 54, 54, 67, 67",2026-07-08,"Image pack, Video, People also ask, Related searches",informational,Organic
キャラ mbti,98,98,1600,17,0.00,https://character-seikaku.memo.wiki/d/%BF%C7%C3%C7%A4%CE%A4%E4%A4%EA%CA%FD%A4%CA%A4%C9,0,0,0.00,0.33,157,"67, 67, 100, 79, 67, 54, 67, 67, 54, 54, 67, 67",2026-07-08,"Image pack, Video, People also ask, Related searches",informational,Organic
暗殺 教室 胸,38,38,110,26,0.00,https://character-seikaku.memo.wiki/d/%B0%C5%BB%A6%B6%B5%BC%BC,0,0,0.00,0.33,85,"2, 12, 100, 2, 2, 3, 3, 2, 66, 36, 2, 2",2026-08-01,"Image pack, Sitelinks, Image, People also ask",informational,Organic
るろうに 剣心 女の子,54,54,70,34,0.00,https://character-seikaku.memo.wiki/d/%A4%EB%A4%ED%A4%A6%A4%CB%B7%F5%BF%B4,0,0,0.00,0,167,"2, 2, 2, 2, 2, 5, 3, 12, 3, 2, 100, 24",2026-07-06,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
ハッピー シュガー ライフ 考察,42,42,90,7,0.00,https://character-seikaku.memo.wiki/d/%A5%CF%A5%C3%A5%D4%A1%BC%A5%B7%A5%E5%A5%AC%A1%BC%A5%E9%A5%A4%A5%D5,0,0,0.00,0.33,106,"19, 19, 3, 2, 2, 100, 44, 2, 2, 2, 2, 2",2026-08-13,"Sitelinks, Video, People also ask, Related searches",informational,Organic
5w6 エニアグラム,22,22,50,14,0.00,https://character-seikaku.memo.wiki/d/5w6%A1%CA%CC%E4%C2%EA%A4%F2%B2%F2%B7%E8%A4%B9%A4%EB%BF%CD%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,0,0,0.00,0.33,104,"5, 5, 100, 10, 14, 10, 19, 5, 5, 100, 5, 5",2026-07-01,"Sitelinks, People also ask, Related searches",commercial,Organic
寄宿 学校 の ジュリエット ペルシア,61,61,320,37,0.00,https://character-seikaku.memo.wiki/d/%B4%F3%BD%C9%B3%D8%B9%BB%A4%CE%A5%B8%A5%E5%A5%EA%A5%A8%A5%C3%A5%C8,0,0,0.00,0.33,125,"44, 54, 44, 36, 36, 44, 36, 24, 100, 44, 67, 29",2026-08-01,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
四宮 かぐや 身長,47,47,320,22,0.00,https://character-seikaku.memo.wiki/d/%A4%AB%A4%B0%A4%E4%CD%CD%A4%CF%B9%F0%A4%E9%A4%BB%A4%BF%A4%A4%20%A1%C1%C5%B7%BA%CD%A4%BF%A4%C1%A4%CE%CE%F8%B0%A6%C6%AC%C7%BE%C0%EF%A1%C1,0,0,0.00,0.33,106,"44, 44, 67, 100, 100, 67, 81, 81, 29, 23, 54, 67",2026-07-16,"Image pack, Sitelinks, People also ask, Related searches, AI overview",informational,Organic
ガンダム 診断,34,34,590,12,0.00,https://character-seikaku.memo.wiki/d/%B5%A1%C6%B0%C0%EF%BB%CE%A5%AC%A5%F3%A5%C0%A5%E0SEED,0,0,0.00,0.33,110,"100, 82, 67, 100, 100, 82, 54, 67, 82, 67, 54, 54",2026-07-11,"Reviews, Video, Image, Related searches",informational,Organic
ガンダム 診断,59,59,590,12,0.00,https://character-seikaku.memo.wiki/d/%B5%A1%C6%B0%C0%EF%BB%CEZ%A5%AC%A5%F3%A5%C0%A5%E0,0,0,0.00,0.33,110,"100, 82, 67, 100, 100, 82, 54, 67, 82, 67, 54, 54",2026-07-11,"Reviews, Video, Image, Related searches",informational,Organic
ガンダム 診断,61,61,590,12,0.00,https://character-seikaku.memo.wiki/d/%B5%A1%C6%B0%C0%EF%BB%CEZ%A5%AC%A5%F3%A5%C0%A5%E0,0,0,0.00,0.33,110,"100, 82, 67, 100, 100, 82, 54, 67, 82, 67, 54, 54",2026-07-11,"Reviews, Video, Image, Related searches",informational,Organic
4w3 エニアグラム,31,31,90,9,0.00,https://character-seikaku.memo.wiki/d/4w3%A1%CA%B5%AE%C2%B2%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,0,0,0.00,0.01,104,"100, 19, 1, 4, 1, 1, 3, 1, 1, 15, 1, 1",2026-07-06,"Sitelinks, Related searches",informational,Organic
ドラえもん mbti,46,46,1000,33,0.00,https://character-seikaku.memo.wiki/d/%A5%C9%A5%E9%A4%A8%A4%E2%A4%F3%28%A5%A8%A5%CB%A5%A2%A5%B0%A5%E9%A5%E0%29,0,0,0.00,0.33,103,"100, 100, 100, 77, 68, 77, 77, 77, 77, 100, 77, 68",2026-07-08,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
ドラえもん mbti,73,73,1000,33,0.00,https://character-seikaku.memo.wiki/d/%A5%C9%A5%E9%A5%D9%A1%BC%A5%B9%20%A5%C9%A5%E9%A4%A8%A4%E2%A4%F3%C4%B6%CC%EE%B5%E5%B3%B0%C5%C1,0,0,0.00,0.33,103,"100, 100, 100, 77, 68, 77, 77, 77, 77, 100, 77, 68",2026-07-08,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
ドラえもん mbti,82,82,1000,33,0.00,https://character-seikaku.memo.wiki/d/%A5%AD%A5%E3%A5%E9%A5%AF%A5%BF%A1%BC%B0%EC%CD%F7%28MBTI%29,0,0,0.00,0.33,103,"100, 100, 100, 77, 68, 77, 77, 77, 77, 100, 77, 68",2026-07-08,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
エニアグラム タイプ 5 女性,54,54,170,13,0.00,https://character-seikaku.memo.wiki/d/%A5%A8%A5%CB%A5%A2%A5%B0%A5%E9%A5%E0%20%A5%BF%A5%A4%A5%D75,0,0,0.00,0.33,105,"81, 81, 100, 81, 81, 54, 81, 54, 54, 54, 54, 42",2026-07-05,"Image pack, People also ask, Related searches, AI overview",informational,Organic
ぬーべー 亀,57,57,50,26,0.00,https://character-seikaku.memo.wiki/d/%C3%CF%B9%F6%C0%E8%C0%B8%A4%CC%A1%C1%A4%D9%A1%C1,0,0,0.00,0.33,171,"42, 15, 100, 4, 4, 8, 4, 4, 4, 4, 35, 8",2026-08-13,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
かぐや 様 は 告 ら せ たい wiki,27,27,390,50,0.00,https://character-seikaku.memo.wiki/d/%A4%AB%A4%B0%A4%E4%CD%CD%A4%CF%B9%F0%A4%E9%A4%BB%A4%BF%A4%A4%20%A1%C1%C5%B7%BA%CD%A4%BF%A4%C1%A4%CE%CE%F8%B0%A6%C6%AC%C7%BE%C0%EF%A1%C1,0,0,0.00,0.33,107,"20, 20, 30, 30, 20, 55, 100, 30, 30, 30, 20, 13",2026-07-29,"Image, People also ask, Related searches",informational,Organic
はたらく 細胞 wiki,36,36,170,60,0.00,https://character-seikaku.memo.wiki/d/%A4%CF%A4%BF%A4%E9%A4%AF%BA%D9%CB%A6,0,0,0.00,0.33,0,"44, 44, 23, 44, 23, 23, 100, 54, 19, 10, 15, 23",2026-07-28,"Image pack, Reviews, Image, Related searches",informational,Organic
暗殺 教室 身長,42,42,1000,17,0.00,https://character-seikaku.memo.wiki/d/%B0%C5%BB%A6%B6%B5%BC%BC,0,0,0.00,0.33,104,"20, 17, 20, 55, 30, 20, 20, 20, 25, 100, 83, 34",2026-07-04,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
エニアグラム 5w6,14,14,210,11,0.00,https://character-seikaku.memo.wiki/d/5w6%A1%CA%CC%E4%C2%EA%A4%F2%B2%F2%B7%E8%A4%B9%A4%EB%BF%CD%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,0,0,0.00,0.33,100,"100, 65, 81, 81, 65, 100, 100, 81, 65, 81, 100, 81",2026-07-15,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
あん ガル キャラ,22,22,260,17,0.00,https://character-seikaku.memo.wiki/d/%A4%A2%A4%F3%A4%B5%A4%F3%A4%D6%A4%EB%A5%AC%A1%BC%A5%EB%A5%BA%A1%AA,0,0,0.00,0.33,119,"66, 66, 81, 66, 100, 66, 100, 66, 81, 81, 81, 66",2026-06-28,"Image pack, Reviews, Video, Image, People also ask, Related searches",informational,Organic
ペルソナ キャラ 診断,11,11,90,15,0.00,https://character-seikaku.memo.wiki/d/%A5%DA%A5%EB%A5%BD%A5%CA5,0,0,0.00,0.33,106,"64, 79, 100, 100, 79, 50, 36, 50, 29, 36, 36, 79",2026-07-10,"Image pack, Image, People also ask, Related searches",informational,Organic
ペルソナ キャラ 診断,44,44,90,15,0.00,https://character-seikaku.memo.wiki/d/%A5%DA%A5%EB%A5%BD%A5%CA4,0,0,0.00,0.33,106,"64, 79, 100, 100, 79, 50, 36, 50, 29, 36, 36, 79",2026-07-10,"Image pack, Image, People also ask, Related searches",informational,Organic
ペルソナ キャラ 診断,57,57,90,15,0.00,https://character-seikaku.memo.wiki/d/%A5%DA%A5%EB%A5%BD%A5%CA3,0,0,0.00,0.33,106,"64, 79, 100, 100, 79, 50, 36, 50, 29, 36, 36, 79",2026-07-10,"Image pack, Image, People also ask, Related searches",informational,Organic
ペルソナ キャラ 診断,66,66,90,15,0.00,https://character-seikaku.memo.wiki/d/%A5%DA%A5%EB%A5%BD%A5%CA3,0,0,0.00,0.33,106,"64, 79, 100, 100, 79, 50, 36, 50, 29, 36, 36, 79",2026-07-10,"Image pack, Image, People also ask, Related searches",informational,Organic
ダンガン ロンパ 自己 紹介,38,38,110,29,0.00,https://character-seikaku.memo.wiki/d/%A5%B9%A1%BC%A5%D1%A1%BC%A5%C0%A5%F3%A5%AC%A5%F3%A5%ED%A5%F3%A5%D12%20%A4%B5%A4%E8%A4%CA%A4%E9%C0%E4%CB%BE%B3%D8%B1%E0,0,0,0.00,0.33,120,"41, 41, 82, 100, 53, 65, 82, 82, 82, 82, 82, 65",2026-08-07,"Image pack, Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
ダンガン ロンパ 自己 紹介,54,54,110,29,0.00,https://character-seikaku.memo.wiki/d/%A5%C0%A5%F3%A5%AC%A5%F3%A5%ED%A5%F3%A5%D1%20%B4%F5%CB%BE%A4%CE%B3%D8%B1%E0%A4%C8%C0%E4%CB%BE%A4%CE%B9%E2%B9%BB%C0%B8,0,0,0.00,0.33,120,"41, 41, 82, 100, 53, 65, 82, 82, 82, 82, 82, 65",2026-08-07,"Image pack, Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
サザエ さん レアキャラ,37,0,90,17,0.00,https://character-seikaku.memo.wiki/d/%A5%B5%A5%B6%A5%A8%A4%B5%A4%F3,0,0,0.00,0.33,106,"79, 50, 64, 64, 79, 79, 64, 79, 79, 64, 100, 50",2026-08-18,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic
3 月 の ライオン キャラクター 一覧,49,49,110,27,0.00,https://character-seikaku.memo.wiki/d/3%B7%EE%A4%CE%A5%E9%A5%A4%A5%AA%A5%F3,0,0,0.00,0.33,134,"52, 43, 33, 100, 81, 43, 33, 52, 43, 52, 43, 43",2026-07-04,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
ハウル メンヘラ,43,43,170,31,0.00,https://character-seikaku.memo.wiki/d/%A5%CF%A5%A6%A5%EB%A4%CE%C6%B0%A4%AF%BE%EB,0,0,0.00,0,161,"81, 54, 54, 54, 65, 65, 54, 100, 81, 54, 65, 81",2026-07-12,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
entp 動物,28,28,70,30,0.00,https://character-seikaku.memo.wiki/d/ENTP%A1%CA%C8%AF%CC%C0%B2%C8%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,0,0,0.00,0.33,129,"65, 65, 65, 100, 4, 8, 4, 4, 4, 8, 4, 19",2026-07-16,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
entp 動物,66,66,70,30,0.00,https://character-seikaku.memo.wiki/d/ENTP,0,0,0.00,0.33,129,"65, 65, 65, 100, 4, 8, 4, 4, 4, 8, 4, 19",2026-07-16,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
entp 動物,80,80,70,30,0.00,https://character-seikaku.memo.wiki/d/ESTP-ENTP,0,0,0.00,0.33,129,"65, 65, 65, 100, 4, 8, 4, 4, 4, 8, 4, 19",2026-07-16,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
小野寺 ニセコイ,57,57,720,34,0.00,https://character-seikaku.memo.wiki/d/%A5%CB%A5%BB%A5%B3%A5%A4,0,0,0.00,0,120,"100, 72, 72, 88, 72, 72, 72, 72, 72, 72, 72, 72",2026-07-09,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
小野寺 ニセコイ,62,62,720,34,0.00,https://character-seikaku.memo.wiki/d/%A5%CB%A5%BB%A5%B3%A5%A4,0,0,0.00,0,120,"100, 72, 72, 88, 72, 72, 72, 72, 72, 72, 72, 72",2026-07-09,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
